ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,ACTIVE,0.25,9.0,9.3,1.0,4.0,12.0,0.0,True,,4.9,11.0,9.3,,,2178.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,151.0,B0FSMQCD7Y,2026-04-22,,,,,
In Stock,ACTIVE,0.25,9.0,9.3,1.0,4.0,12.0,0.0,True,,4.9,11.0,9.3,,,2087.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,154.0,B0FSMQCD7Y,2026-04-21,,,,,
In Stock,ACTIVE,1.0,19.0,9.3,2.0,2.0,12.0,0.0,True,,4.9,11.0,9.3,,,2165.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,155.0,B0FSMQCD7Y,2026-04-20,,,,,
In Stock,ACTIVE,0.5,9.0,9.3,1.0,2.0,12.0,0.0,True,,4.9,11.0,9.3,,,2061.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,155.0,B0FSMQCD7Y,2026-04-19,,,,,
In Stock,ACTIVE,0.333,19.0,9.3,2.0,6.0,12.0,0.0,True,,4.9,11.0,9.3,,,2175.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,157.0,B0FSMQCD7Y,2026-04-18,,,,,
In Stock,ACTIVE,0.333,9.0,9.3,1.0,3.0,12.0,0.0,True,,4.9,11.0,9.3,,,2123.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,158.0,B0FSMQCD7Y,2026-04-17,,,,,
In Stock,ACTIVE,0.5,9.0,9.3,1.0,2.0,12.0,0.0,True,,4.9,11.0,9.3,,,2022.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,160.0,B0FSMQCD7Y,2026-04-16,,,,,
In Stock,ACTIVE,0.167,9.0,9.3,1.0,6.0,12.0,0.0,True,,4.9,11.0,9.3,,,1736.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,160.0,B0FSMQCD7Y,2026-04-15,,,,,
In Stock,ACTIVE,0.5,9.0,9.3,1.0,2.0,12.0,0.0,True,,4.9,11.0,9.3,,,2189.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,162.0,B0FSMQCD7Y,2026-04-14,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,4.0,12.0,0.0,True,,4.9,11.0,10.99,,,1910.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,False,True,False,Treats & Chews,162.0,B0FSMQCD7Y,2026-04-13,,,,,
In Stock,ACTIVE,,11.0,10.99,1.0,,12.0,0.0,True,,4.9,11.0,10.99,,,2220.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,163.0,B0FSMQCD7Y,2026-04-12,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,True,,4.9,11.0,10.99,,,2045.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,0.0,B0FSMQCD7Y,2026-04-11,,,,,
In Stock,ACTIVE,0.333,11.0,10.99,1.0,3.0,12.0,0.0,True,,4.9,11.0,10.99,,,1832.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,165.0,B0FSMQCD7Y,2026-04-10,,,,,
In Stock,ACTIVE,,11.0,10.99,1.0,,12.0,0.0,True,,4.9,11.0,10.99,,,1893.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,165.0,B0FSMQCD7Y,2026-04-09,,,,,
In Stock,ACTIVE,0.25,11.0,10.99,1.0,4.0,12.0,0.0,True,,4.9,11.0,10.99,,,1833.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,165.0,B0FSMQCD7Y,2026-04-08,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,3.0,12.0,0.0,True,,4.9,11.0,10.99,,,1856.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,166.0,B0FSMQCD7Y,2026-04-07,,,,,
In Stock,ACTIVE,0.143,11.0,10.99,1.0,7.0,12.0,0.0,True,,4.9,11.0,10.99,,,1779.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,166.0,B0FSMQCD7Y,2026-04-06,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,True,,4.9,11.0,10.99,,,2091.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,167.0,B0FSMQCD7Y,2026-04-05,,,,,
In Stock,ACTIVE,0.143,11.0,10.99,1.0,7.0,12.0,0.0,True,,4.9,11.0,10.99,,,1947.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,167.0,B0FSMQCD7Y,2026-04-04,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,True,,4.9,11.0,10.99,,,2243.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,168.0,B0FSMQCD7Y,2026-04-03,,,,,
In Stock,ACTIVE,2.0,22.0,10.99,2.0,1.0,12.0,0.0,True,,4.9,11.0,10.99,,,2208.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,169.0,B0FSMQCD7Y,2026-04-02,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,3.0,12.0,0.0,True,,4.9,11.0,10.99,,,2424.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,170.0,B0FSMQCD7Y,2026-04-01,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,False,,4.9,11.0,10.99,,,2617.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,170.0,B0FSMQCD7Y,2026-03-31,,,,,
In Stock,ACTIVE,1.0,11.0,10.99,1.0,1.0,12.0,0.0,False,,4.9,11.0,10.99,,,2210.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,171.0,B0FSMQCD7Y,2026-03-30,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,3.0,12.0,0.0,False,,4.9,11.0,10.99,,,1966.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,171.0,B0FSMQCD7Y,2026-03-29,,,,,
In Stock,ACTIVE,,,,,,12.0,0.0,False,,4.9,11.0,10.99,,,1597.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,172.0,B0FSMQCD7Y,2026-03-28,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,12.0,0.0,False,,4.9,11.0,10.99,,,2093.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,172.0,B0FSMQCD7Y,2026-03-27,,,,,
In Stock,ACTIVE,0.1,11.0,10.99,1.0,10.0,12.0,0.0,False,,4.9,11.0,10.99,,,2116.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,172.0,B0FSMQCD7Y,2026-03-26,,,,,
In Stock,ACTIVE,0.667,22.0,10.99,2.0,3.0,12.0,0.0,False,,4.9,11.0,10.99,,,2521.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,172.0,B0FSMQCD7Y,2026-03-25,,,,,
Not Buyable,ACTIVE,0.0,,,,1.0,12.0,0.0,False,,4.9,11.0,,,,2371.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],False,False,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-24,,,,,
In Stock,ACTIVE,0.0,,,,4.0,12.0,0.0,False,,4.9,11.0,10.99,,,2075.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-23,,,,,
In Stock,ACTIVE,0.0,,,,3.0,12.0,0.0,False,,4.9,11.0,10.99,,,2569.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-22,,,,,
In Stock,ACTIVE,,0.0,,0.0,,12.0,0.0,False,,4.9,10.0,10.99,,,2632.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-21,,,,,
In Stock,ACTIVE,0.0,,,,5.0,12.0,0.0,False,,4.9,10.0,10.99,,,2582.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-20,,,,,
In Stock,ACTIVE,0.0,,,,4.0,12.0,0.0,False,,4.9,10.0,10.99,,,2163.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-19,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,2.0,12.0,0.0,False,,4.9,10.0,10.99,,,2371.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,173.0,B0FSMQCD7Y,2026-03-18,,,,,
In Stock,ACTIVE,0.2,11.0,10.99,1.0,5.0,13.0,0.0,False,,4.8,8.0,10.99,,,2164.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,174.0,B0FSMQCD7Y,2026-03-17,,,,,
In Stock,ACTIVE,0.25,11.0,10.99,1.0,4.0,13.0,0.0,False,,4.8,8.0,10.99,0.0,,2271.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,174.0,B0FSMQCD7Y,2026-03-16,0.0,0.0,0.0,1.0,0.0
In Stock,ACTIVE,0.333,11.0,10.99,1.0,3.0,13.0,0.0,False,,4.8,8.0,10.99,,,2248.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,176.0,B0FSMQCD7Y,2026-03-15,,,,,
In Stock,ACTIVE,0.0,,,,2.0,13.0,0.0,False,,4.8,8.0,10.99,,,2590.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,175.0,B0FSMQCD7Y,2026-03-14,,,,,
In Stock,ACTIVE,0.0,,,,2.0,13.0,0.0,False,,4.8,8.0,10.99,,,2213.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,176.0,B0FSMQCD7Y,2026-03-13,,,,,
In Stock,ACTIVE,0.0,,,,2.0,13.0,0.0,False,,4.8,8.0,10.99,,,1958.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,176.0,B0FSMQCD7Y,2026-03-12,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,13.0,0.0,False,,5.0,6.0,10.99,,,2257.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,176.0,B0FSMQCD7Y,2026-03-11,,,,,
In Stock,ACTIVE,1.0,11.0,10.99,1.0,1.0,13.0,0.0,False,,5.0,5.0,10.99,,,2222.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,179.0,B0FSMQCD7Y,2026-03-10,,,,,
In Stock,ACTIVE,0.167,11.0,10.99,1.0,6.0,13.0,0.0,False,,5.0,5.0,10.99,,,2180.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,179.0,B0FSMQCD7Y,2026-03-09,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,1.0,13.0,0.0,False,,5.0,5.0,10.99,,,2413.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,179.0,B0FSMQCD7Y,2026-03-08,,,,,
In Stock,ACTIVE,0.0,,,,2.0,13.0,0.0,False,,5.0,5.0,10.99,,,2018.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,179.0,B0FSMQCD7Y,2026-03-07,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,2.0,13.0,0.0,False,,5.0,5.0,10.99,,,1914.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,179.0,B0FSMQCD7Y,2026-03-06,,,,,
In Stock,ACTIVE,0.667,22.0,10.99,2.0,3.0,13.0,0.0,False,,5.0,5.0,10.99,,,1832.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,180.0,B0FSMQCD7Y,2026-03-05,,,,,
In Stock,ACTIVE,0.667,22.0,10.99,2.0,3.0,13.0,0.0,False,,5.0,4.0,10.99,,,2182.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,183.0,B0FSMQCD7Y,2026-03-04,,,,,
In Stock,ACTIVE,0.25,22.0,10.99,2.0,8.0,13.0,0.0,False,,5.0,3.0,10.99,,,1960.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,184.0,B0FSMQCD7Y,2026-03-03,,,,,
In Stock,ACTIVE,0.25,11.0,10.99,1.0,4.0,13.0,0.0,False,,5.0,1.0,10.99,,,2007.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,187.0,B0FSMQCD7Y,2026-03-02,,,,,
In Stock,ACTIVE,0.125,11.0,10.99,1.0,8.0,13.0,0.0,False,,,,10.99,,,1817.0,Burt's Bees,,B0FSMQCD7Y (Burt's Bees Manuka Honey+ Ginger Dental Treat; Peanut Butter [Small] 6.8oz),[],True,True,True,False,Treats & Chews,187.0,B0FSMQCD7Y,2026-03-01,,,,,
