ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
In Stock,FD,,,,,,5.0,0.0,True,,5.0,3.0,58.07,,,3134.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-03-27,,,,,
In Stock,FD,1.0,117.0,58.35,2.0,2.0,5.0,0.0,True,,5.0,3.0,58.36,,,3069.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-03-10,,,,,
In Stock,FD,0.5,58.0,58.36,1.0,2.0,5.0,0.0,True,,5.0,3.0,58.36,,,3295.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,35.0,B0D436H21V,2026-03-09,,,,,
In Stock,FD,1.0,58.0,58.37,1.0,1.0,5.0,0.0,True,,5.0,3.0,58.37,,,2812.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,36.0,B0D436H21V,2026-03-08,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,58.34,,,3683.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,36.0,B0D436H21V,2026-03-07,,,,,
In Stock,FD,1.0,115.0,57.55,2.0,2.0,5.0,0.0,True,,5.0,3.0,58.36,,,3287.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,37.0,B0D436H21V,2026-03-06,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,58.36,,,3848.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,35.0,B0D436H21V,2026-03-05,,,,,
In Stock,FD,,114.0,56.76,2.0,,5.0,0.0,True,,5.0,3.0,58.42,,,3399.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,37.0,B0D436H21V,2026-03-04,,,,,
In Stock,FD,,0.0,,0.0,,5.0,0.0,True,,5.0,3.0,56.24,,,2952.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,37.0,B0D436H21V,2026-03-03,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,56.75,,,2929.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,36.0,B0D436H21V,2026-03-02,,,,,
In Stock,FD,0.5,57.0,56.75,1.0,2.0,5.0,0.0,True,,5.0,3.0,56.75,,,3875.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,38.0,B0D436H21V,2026-03-01,,,,,
In Stock,FD,0.167,57.0,56.94,1.0,6.0,5.0,0.0,True,,5.0,3.0,56.74,,,3450.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,36.0,B0D436H21V,2026-02-28,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,56.75,,,2999.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,36.0,B0D436H21V,2026-02-27,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,56.76,,,3074.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-02-26,,,,,
In Stock,FD,1.0,57.0,56.54,1.0,1.0,5.0,0.0,True,,5.0,3.0,56.76,,,3207.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,35.0,B0D436H21V,2026-02-25,,,,,
In Stock,FD,,57.0,56.76,1.0,,5.0,0.0,True,,5.0,3.0,56.77,,,3750.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-02-24,,,,,
In Stock,FD,1.0,57.0,56.77,1.0,1.0,5.0,0.0,True,,5.0,3.0,56.77,,,3229.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,35.0,B0D436H21V,2026-02-23,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,56.76,,,2751.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,35.0,B0D436H21V,2026-02-22,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,56.68,,,3317.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-02-21,,,,,
In Stock,FD,0.5,113.0,56.68,2.0,4.0,5.0,0.0,True,,5.0,3.0,56.54,,,4051.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-02-20,,,,,
In Stock,FD,0.333,57.0,56.54,1.0,3.0,5.0,0.0,True,,5.0,3.0,56.54,,,3749.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,37.0,B0D436H21V,2026-02-19,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,56.54,,,3358.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-02-18,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,56.54,,,2876.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-02-17,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,56.54,,,2780.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-02-16,,,,,
In Stock,FD,1.0,56.0,56.46,1.0,1.0,5.0,0.0,True,,5.0,3.0,56.54,,,3518.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-02-15,,,,,
In Stock,FD,2.0,113.0,56.5,2.0,1.0,5.0,0.0,True,,5.0,3.0,56.55,,,4657.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-02-14,,,,,
In Stock,FD,0.5,57.0,56.55,1.0,2.0,5.0,0.0,True,,5.0,3.0,56.56,,,4611.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,32.0,B0D436H21V,2026-02-13,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,56.57,,,4531.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-02-12,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,56.56,,,4456.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,27.0,B0D436H21V,2026-02-11,,,,,
In Stock,FD,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,56.57,,,4350.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,25.0,B0D436H21V,2026-02-10,,,,,
In Stock,FD,,0.0,,0.0,,5.0,0.0,True,,5.0,3.0,56.57,,,4214.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,25.0,B0D436H21V,2026-02-09,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,56.45,,,3924.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,25.0,B0D436H21V,2026-02-08,,,,,
In Stock,FD,0.0,,,,3.0,5.0,0.0,True,,5.0,3.0,56.46,,,3597.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,23.0,B0D436H21V,2026-02-07,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,56.46,,,3126.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,25.0,B0D436H21V,2026-02-06,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,56.46,,,2600.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,23.0,B0D436H21V,2026-02-05,,,,,
In Stock,FD,,109.0,54.65,2.0,,5.0,0.0,True,,5.0,3.0,54.63,,,4059.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,23.0,B0D436H21V,2026-02-04,,,,,
In Stock,FD,0.333,55.0,54.63,1.0,3.0,5.0,0.0,True,,5.0,3.0,54.63,,,3833.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,23.0,B0D436H21V,2026-02-03,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,54.64,,,3338.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,24.0,B0D436H21V,2026-02-02,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,15.0,0.0,True,,5.0,3.0,54.64,,,3923.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,22.0,B0D436H21V,2026-02-01,,,,,
In Stock,FD,1.0,55.0,54.64,1.0,1.0,5.0,0.0,True,,5.0,3.0,54.64,,,3568.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,21.0,B0D436H21V,2026-01-31,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,54.65,,,3143.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,23.0,B0D436H21V,2026-01-30,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,54.65,,,3468.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,24.0,B0D436H21V,2026-01-29,,,,,
In Stock,FD,0.143,55.0,54.65,1.0,7.0,5.0,0.0,True,,5.0,3.0,54.65,,,3007.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,26.0,B0D436H21V,2026-01-28,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,54.65,,,3160.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,27.0,B0D436H21V,2026-01-27,,,,,
In Stock,FD,,55.0,54.68,1.0,,5.0,0.0,True,,5.0,3.0,54.7,,,2688.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,23.0,B0D436H21V,2026-01-26,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,54.7,,,3230.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,26.0,B0D436H21V,2026-01-25,,,,,
In Stock,FD,2.0,109.0,54.71,2.0,1.0,5.0,0.0,True,,5.0,3.0,54.71,,,3729.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,27.0,B0D436H21V,2026-01-24,,,,,
In Stock,FD,,55.0,54.71,1.0,,5.0,0.0,True,,5.0,3.0,54.71,,,3336.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,False,Treats & Chews,27.0,B0D436H21V,2026-01-23,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,54.71,,,2823.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,28.0,B0D436H21V,2026-01-22,,,,,
In Stock,FD,0.0,0.0,,0.0,1.0,5.0,0.0,True,,5.0,3.0,55.13,,,2749.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,28.0,B0D436H21V,2026-01-21,,,,,
In Stock,FD,1.0,55.0,55.13,1.0,1.0,5.0,0.0,True,,5.0,3.0,55.23,,,3181.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,28.0,B0D436H21V,2026-01-20,,,,,
In Stock,FD,1.0,110.0,55.23,2.0,2.0,5.0,0.0,True,,5.0,3.0,55.23,,,2668.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-01-19,,,,,
In Stock,FD,0.0,0.0,,0.0,2.0,5.0,0.0,True,,5.0,3.0,55.23,,,3012.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,28.0,B0D436H21V,2026-01-18,,,,,
In Stock,FD,0.667,110.0,55.23,2.0,3.0,5.0,0.0,True,,5.0,3.0,55.24,,,3131.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,26.0,B0D436H21V,2026-01-17,,,,,
In Stock,FD,0.333,55.0,55.24,1.0,3.0,5.0,0.0,True,,5.0,3.0,55.24,,,2632.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-01-16,,,,,
In Stock,FD,0.0,0.0,,0.0,3.0,5.0,0.0,True,,5.0,3.0,55.28,,,2881.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,32.0,B0D436H21V,2026-01-15,,,,,
In Stock,FD,1.0,110.0,55.23,2.0,2.0,5.0,0.0,True,,5.0,3.0,55.28,,,4081.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-01-14,,,,,
In Stock,FD,2.0,111.0,55.35,2.0,1.0,5.0,0.0,True,,5.0,3.0,55.37,,,3782.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-01-13,,,,,
In Stock,ACTIVE,0.0,,,,1.0,5.0,0.0,True,,5.0,3.0,55.35,,,3284.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-01-12,,,,,
In Stock,ACTIVE,0.0,,,,3.0,5.0,0.0,True,,5.0,3.0,55.34,,,2770.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-01-11,,,,,
In Stock,ACTIVE,0.0,0.0,,0.0,4.0,5.0,0.0,True,,5.0,3.0,55.34,,,3493.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-01-10,,,,,
In Stock,ACTIVE,0.5,57.0,56.99,1.0,2.0,5.0,0.0,True,,5.0,3.0,55.37,,,3044.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,30.0,B0D436H21V,2026-01-09,,,,,
In Stock,ACTIVE,,0.0,,0.0,,6.0,0.0,True,,5.0,3.0,55.34,,,2548.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,31.0,B0D436H21V,2026-01-08,,,,,
In Stock,ACTIVE,,0.0,,0.0,,6.0,0.0,True,,5.0,3.0,55.18,,,2765.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,32.0,B0D436H21V,2026-01-07,,,,,
In Stock,ACTIVE,1.0,109.0,54.52,2.0,2.0,6.0,0.0,True,,4.4,385.0,55.19,,,597.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,33.0,B0D436H21V,2026-01-06,,,,,
In Stock,ACTIVE,0.4,110.0,55.19,2.0,5.0,6.0,0.0,True,,4.4,384.0,55.19,,,626.0,Dole,,B0D436H21V (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner] & *** 6 Pc Multi-Pk ***),[],True,False,True,True,Treats & Chews,34.0,B0D436H21V,2026-01-05,,,,,
