ASIN Buyability Flag,asin_status,CVR%,revenue,asp,units,gv,Images #,Videos #,Has A+ Content,Buybox Winner,Average Rating,Number of Ratings,bb_price,Ad CTR%,Ad CVR%,bsr,brand,Ad CPC$,ASIN (Description),Update Type,Sold By Amazon,Has Coupon?,Has Store Link?,In Stock Today?,category,Sellable On Hand Units,asin,date,Ad Cost,Ad Sales,Ad Clicks,Ad Impressions,Ad Conversions
Not Buyable,ACTIVE,,0.0,,0.0,0.0,6.0,0.0,True,,4.4,322.0,,,,526.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,106.0,B0CTVHH74X,2025-10-05,,,,,
Not Buyable,ACTIVE,,0.0,,0.0,0.0,6.0,0.0,True,,4.4,322.0,,,,571.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,108.0,B0CTVHH74X,2025-10-04,,,,,
Not Buyable,ACTIVE,,0.0,,0.0,0.0,6.0,0.0,True,,4.4,321.0,,,,549.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,116.0,B0CTVHH74X,2025-10-03,,,,,
Not Buyable,ACTIVE,,17.0,8.47,2.0,0.0,6.0,0.0,True,,4.4,319.0,,,,537.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,122.0,B0CTVHH74X,2025-10-02,,,,,
Not Buyable,ACTIVE,,51.0,8.47,6.0,0.0,6.0,0.0,True,,4.4,319.0,,,,508.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,123.0,B0CTVHH74X,2025-10-01,,,,,
Not Buyable,ACTIVE,,59.0,8.47,7.0,0.0,6.0,0.0,True,,4.4,319.0,,,,494.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,129.0,B0CTVHH74X,2025-09-30,,,,,
Not Buyable,ACTIVE,,76.0,8.47,9.0,0.0,6.0,0.0,True,,4.4,319.0,,,,487.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,134.0,B0CTVHH74X,2025-09-29,,,,,
Not Buyable,ACTIVE,,17.0,8.47,2.0,0.0,6.0,0.0,True,,4.4,319.0,,,,481.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,145.0,B0CTVHH74X,2025-09-28,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,319.0,,,,518.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,156.0,B0CTVHH74X,2025-09-27,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,318.0,,,,510.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,160.0,B0CTVHH74X,2025-09-26,,,,,
Not Buyable,ACTIVE,,152.0,8.47,18.0,0.0,6.0,0.0,True,,4.4,314.0,,,,530.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,156.0,B0CTVHH74X,2025-09-25,,,,,
Not Buyable,ACTIVE,,68.0,8.47,8.0,0.0,6.0,0.0,True,,4.4,312.0,,,,503.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,164.0,B0CTVHH74X,2025-09-24,,,,,
Not Buyable,ACTIVE,,59.0,8.47,7.0,0.0,6.0,0.0,True,,4.4,311.0,,,,498.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,177.0,B0CTVHH74X,2025-09-23,,,,,
Not Buyable,ACTIVE,,51.0,8.47,6.0,0.0,6.0,0.0,True,,4.4,310.0,,,,475.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,186.0,B0CTVHH74X,2025-09-22,,,,,
Not Buyable,ACTIVE,,59.0,8.47,7.0,0.0,6.0,0.0,True,,4.4,307.0,,,,470.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,190.0,B0CTVHH74X,2025-09-21,,,,,
Not Buyable,ACTIVE,,110.0,8.47,13.0,0.0,6.0,0.0,True,,4.4,307.0,,,,498.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,194.0,B0CTVHH74X,2025-09-20,,,,,
Not Buyable,ACTIVE,,59.0,8.47,7.0,0.0,6.0,0.0,True,,4.4,306.0,,,,531.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,202.0,B0CTVHH74X,2025-09-19,,,,,
Not Buyable,ACTIVE,,42.0,8.47,5.0,0.0,6.0,0.0,True,,4.4,306.0,,,,522.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,212.0,B0CTVHH74X,2025-09-18,,,,,
Not Buyable,ACTIVE,,17.0,8.47,2.0,0.0,6.0,0.0,True,,4.4,305.0,,,,486.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,212.0,B0CTVHH74X,2025-09-17,,,,,
Not Buyable,ACTIVE,,17.0,8.47,2.0,0.0,6.0,0.0,True,,4.4,305.0,,,,525.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,223.0,B0CTVHH74X,2025-09-16,,,,,
Not Buyable,ACTIVE,,76.0,8.47,9.0,0.0,6.0,0.0,True,,4.4,304.0,,,,472.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,235.0,B0CTVHH74X,2025-09-15,,,,,
Not Buyable,ACTIVE,,76.0,8.47,9.0,0.0,6.0,0.0,True,,4.4,304.0,,,,482.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,246.0,B0CTVHH74X,2025-09-14,,,,,
Not Buyable,ACTIVE,,51.0,8.47,6.0,0.0,6.0,0.0,True,,4.4,302.0,,,,505.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,258.0,B0CTVHH74X,2025-09-13,,,,,
Not Buyable,ACTIVE,,59.0,8.47,7.0,0.0,6.0,0.0,True,,4.4,301.0,,,,505.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,271.0,B0CTVHH74X,2025-09-12,,,,,
Not Buyable,ACTIVE,,76.0,8.47,9.0,0.0,6.0,0.0,True,,4.4,301.0,,,,508.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,282.0,B0CTVHH74X,2025-09-11,,,,,
Not Buyable,ACTIVE,,68.0,8.47,8.0,0.0,6.0,0.0,True,,4.4,301.0,,,,509.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,332.0,B0CTVHH74X,2025-09-10,,,,,
Not Buyable,ACTIVE,,93.0,8.47,11.0,0.0,6.0,0.0,True,,4.4,299.0,,,,494.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,342.0,B0CTVHH74X,2025-09-09,,,,,
Not Buyable,ACTIVE,,110.0,8.47,13.0,0.0,6.0,0.0,True,,4.4,299.0,,,,456.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,351.0,B0CTVHH74X,2025-09-08,,,,,
Not Buyable,ACTIVE,,25.0,8.47,3.0,0.0,6.0,0.0,True,,4.4,299.0,,,,469.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,381.0,B0CTVHH74X,2025-09-07,,,,,
Not Buyable,ACTIVE,,8.0,8.47,1.0,0.0,6.0,0.0,True,,4.4,299.0,,,,472.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,422.0,B0CTVHH74X,2025-09-06,,,,,
Not Buyable,ACTIVE,,51.0,8.47,6.0,0.0,6.0,0.0,True,,4.4,299.0,,,,461.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,435.0,B0CTVHH74X,2025-09-05,,,,,
Not Buyable,ACTIVE,,42.0,8.47,5.0,0.0,6.0,0.0,True,,4.4,299.0,,,,454.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,473.0,B0CTVHH74X,2025-09-04,,,,,
Not Buyable,ACTIVE,,152.0,8.47,18.0,0.0,6.0,0.0,True,,4.4,299.0,,,,435.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,479.0,B0CTVHH74X,2025-09-03,,,,,
In Stock,ACTIVE,0.224,127.0,8.47,15.0,67.0,6.0,0.0,True,,4.4,298.0,8.47,,,434.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,False,True,True,Treats & Chews,490.0,B0CTVHH74X,2025-09-02,,,,,
In Stock,ACTIVE,0.234,152.0,8.47,18.0,77.0,6.0,0.0,True,,4.4,297.0,8.47,,,436.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,False,True,True,Treats & Chews,495.0,B0CTVHH74X,2025-09-01,,,,,
Not Buyable,ACTIVE,0.5710000000000001,203.0,8.47,24.0,42.0,6.0,0.0,False,,,,7.62,,,450.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,517.0,B0CTVHH74X,2025-08-31,,,,,
Not Buyable,ACTIVE,0.5,127.0,8.47,15.0,30.0,6.0,0.0,True,,4.4,297.0,,,,445.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,537.0,B0CTVHH74X,2025-08-30,,,,,
In Stock,ACTIVE,0.519,119.0,8.47,14.0,27.0,6.0,0.0,True,,4.4,297.0,8.47,,,453.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,555.0,B0CTVHH74X,2025-08-29,,,,,
In Stock,ACTIVE,0.375,152.0,8.47,18.0,48.0,6.0,0.0,True,,4.4,296.0,8.47,,,465.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,631.0,B0CTVHH74X,2025-08-28,,,,,
Not Buyable,ACTIVE,0.358,161.0,8.47,19.0,53.0,6.0,0.0,True,,4.4,294.0,,,,435.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,856.0,B0CTVHH74X,2025-08-27,,,,,
In Stock,ACTIVE,0.229,93.0,8.47,11.0,48.0,6.0,0.0,True,,4.4,292.0,8.47,,,421.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,856.0,B0CTVHH74X,2025-08-26,,,,,
In Stock,ACTIVE,0.412,178.0,8.47,21.0,51.0,6.0,0.0,True,,4.4,290.0,8.47,,,440.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,False,True,True,Treats & Chews,844.0,B0CTVHH74X,2025-08-25,,,,,
In Stock,ACTIVE,0.228,195.0,8.47,23.0,101.0,6.0,0.0,True,,4.4,288.0,8.47,,,425.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,855.0,B0CTVHH74X,2025-08-24,,,,,
In Stock,ACTIVE,0.177,119.0,8.47,14.0,79.0,6.0,0.0,True,,4.4,288.0,8.47,,,464.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,893.0,B0CTVHH74X,2025-08-23,,,,,
In Stock,ACTIVE,0.323,178.0,8.47,21.0,65.0,6.0,0.0,True,,4.4,288.0,8.47,,,455.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,850.0,B0CTVHH74X,2025-08-22,,,,,
In Stock,ACTIVE,0.194,102.0,8.47,12.0,62.0,6.0,0.0,True,,4.4,287.0,8.47,,,440.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,848.0,B0CTVHH74X,2025-08-21,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.484,127.0,8.47,15.0,31.0,6.0,0.0,True,,4.4,287.0,8.47,0.0,,434.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,851.0,B0CTVHH74X,2025-08-20,0.0,0.0,0.0,1.0,0.0
In Stock,ACTIVE,0.448,110.0,8.47,13.0,29.0,6.0,0.0,True,,4.4,287.0,8.47,0.0,,419.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,819.0,B0CTVHH74X,2025-08-19,0.0,0.0,0.0,4.0,0.0
In Stock,ACTIVE,0.5,161.0,8.47,19.0,38.0,6.0,0.0,True,,4.4,286.0,8.47,0.0,,396.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,791.0,B0CTVHH74X,2025-08-18,0.0,0.0,0.0,5.0,0.0
In Stock,ACTIVE,0.179,85.0,8.47,10.0,56.0,6.0,0.0,True,,4.4,285.0,8.47,0.0,,420.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,805.0,B0CTVHH74X,2025-08-17,0.0,0.0,0.0,6.0,0.0
In Stock,ACTIVE,0.45,229.0,8.47,27.0,60.0,6.0,0.0,True,,4.4,283.0,8.47,0.0,,416.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,818.0,B0CTVHH74X,2025-08-16,0.0,0.0,0.0,2.0,0.0
In Stock,ACTIVE,0.343,203.0,8.47,24.0,70.0,6.0,0.0,True,,4.4,282.0,8.47,0.0,,419.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,828.0,B0CTVHH74X,2025-08-15,0.0,0.0,0.0,5.0,0.0
In Stock,ACTIVE,0.348,195.0,8.47,23.0,66.0,6.0,0.0,True,,4.4,281.0,8.47,0.0,,452.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,839.0,B0CTVHH74X,2025-08-14,0.0,0.0,0.0,8.0,0.0
In Stock,ACTIVE,0.215,169.0,8.47,20.0,93.0,6.0,0.0,True,,4.4,280.0,8.47,0.0,,454.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,845.0,B0CTVHH74X,2025-08-13,0.0,0.0,0.0,2.0,0.0
In Stock,ACTIVE,0.173,119.0,8.47,14.0,81.0,6.0,0.0,True,,4.4,280.0,8.47,0.0,,467.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,875.0,B0CTVHH74X,2025-08-12,0.0,0.0,0.0,10.0,0.0
Not Buyable,ACTIVE,0.365,161.0,8.47,19.0,52.0,6.0,0.0,True,,4.4,279.0,,,,456.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],False,False,True,True,Treats & Chews,854.0,B0CTVHH74X,2025-08-11,,,,,
In Stock,ACTIVE,0.429,152.0,8.47,18.0,42.0,6.0,0.0,True,,4.4,278.0,8.47,0.0,,437.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,846.0,B0CTVHH74X,2025-08-10,0.0,0.0,0.0,3.0,0.0
In Stock,ACTIVE,0.519,119.0,8.47,14.0,27.0,6.0,0.0,True,,4.4,276.0,8.47,0.0,,409.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,790.0,B0CTVHH74X,2025-08-09,0.0,0.0,0.0,1.0,0.0
In Stock,ACTIVE,0.326,127.0,8.47,15.0,46.0,6.0,0.0,True,,4.4,274.0,8.47,0.0,,414.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,694.0,B0CTVHH74X,2025-08-08,0.0,0.0,0.0,5.0,0.0
In Stock,ACTIVE,0.429,203.0,8.47,24.0,56.0,6.0,0.0,True,,4.4,273.0,8.47,0.0,,433.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,609.0,B0CTVHH74X,2025-08-07,0.0,0.0,0.0,11.0,0.0
In Stock,ACTIVE,0.283,220.0,8.47,26.0,92.0,6.0,0.0,True,,4.3,272.0,8.47,0.0,,434.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,623.0,B0CTVHH74X,2025-08-06,0.0,0.0,0.0,6.0,0.0
In Stock,ACTIVE,0.226,161.0,8.46,19.0,84.0,6.0,0.0,True,,4.3,270.0,8.47,,,420.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,691.0,B0CTVHH74X,2025-08-05,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.346,152.0,8.47,18.0,52.0,6.0,0.0,True,,4.3,269.0,8.47,,,414.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,650.0,B0CTVHH74X,2025-08-04,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.302,161.0,8.47,19.0,63.0,6.0,0.0,True,,4.3,269.0,8.43,0.02803738317757009,0.3333333333333333,399.0,Dole,1.653333333333333,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,692.0,B0CTVHH74X,2025-08-03,4.96,9.87,3.0,107.0,1.0
In Stock,ACTIVE,0.171,118.0,8.43,14.0,82.0,6.0,0.0,True,,4.3,268.0,8.43,0.0115606936416185,0.5,438.0,Dole,2.115,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,793.0,B0CTVHH74X,2025-08-02,4.23,5.48,2.0,173.0,1.0
In Stock,ACTIVE,0.622,388.0,8.43,46.0,74.0,6.0,0.0,True,,4.3,268.0,8.43,0.004444444444444444,0.0,442.0,Dole,2.27,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,682.0,B0CTVHH74X,2025-08-01,2.27,0.0,1.0,225.0,0.0
In Stock,ACTIVE,0.493,303.0,8.43,36.0,73.0,12.0,0.0,True,,4.3,262.0,8.43,0.01421800947867299,0.3333333333333333,441.0,Dole,2.463333333333333,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,723.0,B0CTVHH74X,2025-07-31,7.39,8.43,3.0,211.0,1.0
In Stock,ACTIVE,0.348,194.0,8.43,23.0,66.0,6.0,0.0,True,,4.3,262.0,8.43,0.0100250626566416,0.75,424.0,Dole,1.44625,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,882.0,B0CTVHH74X,2025-07-30,11.57,53.46,8.0,798.0,6.0
In Stock,ACTIVE,0.343,202.0,8.43,24.0,70.0,0.0,0.0,True,,4.3,262.0,8.43,0.006666666666666667,0.25,405.0,Dole,1.335,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,904.0,B0CTVHH74X,2025-07-29,5.34,8.43,4.0,600.0,1.0
In Stock,ACTIVE,0.302,219.0,8.43,26.0,86.0,0.0,0.0,True,,4.3,260.0,8.43,,,389.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,922.0,B0CTVHH74X,2025-07-28,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.224,202.0,8.43,24.0,107.0,0.0,0.0,True,,4.3,260.0,8.43,,,383.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,925.0,B0CTVHH74X,2025-07-27,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.3,228.0,8.43,27.0,90.0,0.0,0.0,True,,4.3,260.0,8.43,,,440.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,910.0,B0CTVHH74X,2025-07-26,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.451,312.0,8.43,37.0,82.0,0.0,0.0,True,,4.4,257.0,8.43,,,452.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,950.0,B0CTVHH74X,2025-07-25,0.0,0.0,0.0,0.0,0.0
In Stock,ACTIVE,0.261,152.0,8.43,18.0,69.0,0.0,0.0,True,,4.3,250.0,8.43,,,469.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,1217.0,B0CTVHH74X,2025-07-24,,,,,
In Stock,ACTIVE,0.379,185.0,8.43,22.0,58.0,0.0,0.0,True,,4.3,250.0,8.43,,,436.0,Dole,,B0CTVHH74X (Dole Molded Chew; Banana; 8oz bag/5ct  [Carton Inner]),[],True,True,True,True,Treats & Chews,1194.0,B0CTVHH74X,2025-07-23,0.0,0.0,0.0,0.0,0.0
