key,cust,mstyle,model_base,model_vp2,baseline_mode_base,baseline_mode_vp2,old_wkly,new_wkly,old_26w,new_26w,delta_units,delta_pct
1864-FF20210PCS6,"AMAZON.COM.KYDC,INC",FF20210PCS6,Croston's,Croston's,,,0.6,0.7,15,17,2,13.3
1864-BB26584,"AMAZON.COM.KYDC,INC",BB26584,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 1208 units),L13 nz-avg (OOS: fill-rate 6% over 1208 units),51.4,58.2,1336,1512,176,13.2
1864-BB0092PCS2,"AMAZON.COM.KYDC,INC",BB0092PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 1004 units),L13 nz-avg (OOS: fill-rate 4% over 1004 units),56.5,63.9,1470,1662,192,13.1
1864-FF33637,"AMAZON.COM.KYDC,INC",FF33637,Croston's,Croston's,,,5.3,6.0,138,156,18,13.0
1864-BB16854PCS2,"AMAZON.COM.KYDC,INC",BB16854PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 708 units),L13 nz-avg (OOS: fill-rate 6% over 708 units),32.3,36.5,840,948,108,12.9
1864-BB33526,"AMAZON.COM.KYDC,INC",BB33526,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 3918 units),L13 nz-avg (OOS: fill-rate 7% over 3918 units),214.8,242.3,5586,6300,714,12.8
1864-BB15841,"AMAZON.COM.KYDC,INC",BB15841,Croston's,Croston's,,,101.5,114.5,2640,2976,336,12.7
1864-BB26923,"AMAZON.COM.KYDC,INC",BB26923,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 1288 units),L13 nz-avg (OOS: fill-rate 5% over 1288 units),58.3,65.7,1516,1708,192,12.7
1864-FF5776PCS2,"AMAZON.COM.KYDC,INC",FF5776PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 261 units),L13 nz-avg (OOS: fill-rate 6% over 261 units),12.7,14.3,330,372,42,12.7
1864-BB16853PCS12,"AMAZON.COM.KYDC,INC",BB16853PCS12,Croston's,Croston's,,,2.5,2.8,64,72,8,12.5
1864-FF29834PCS6,"AMAZON.COM.KYDC,INC",FF29834PCS6,Croston's,Croston's,,,1.8,2.1,48,54,6,12.5
1864-FF4771PCS6,"AMAZON.COM.KYDC,INC",FF4771PCS6,Croston's,Croston's,,,1.5,1.7,40,45,5,12.5
1864-FF9297PCS2,"AMAZON.COM.KYDC,INC",FF9297PCS2,Croston's,Croston's,,,7.4,8.3,192,216,24,12.5
1864-BB0080PCS2,"AMAZON.COM.KYDC,INC",BB0080PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 9% over 402 units),L13 nz-avg (OOS: fill-rate 9% over 402 units),26.0,29.2,675,759,84,12.4
1864-BB12010,"AMAZON.COM.KYDC,INC",BB12010,Croston's,Croston's,,,96.5,108.2,2508,2814,306,12.2
1864-BB29489/12,"AMAZON.COM.KYDC,INC",BB29489/12,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 737 units),L13 nz-avg (OOS: fill-rate 4% over 737 units),34.2,38.3,888,996,108,12.2
1864-BB35101PCS6,"AMAZON.COM.KYDC,INC",BB35101PCS6,Croston's,Croston's,,,1.0,1.1,25,28,3,12.0
1864-BB35032PCS6,"AMAZON.COM.KYDC,INC",BB35032PCS6,Croston's,Croston's,,,9.4,10.5,244,273,29,11.9
1864-BB0092PCS12,"AMAZON.COM.KYDC,INC",BB0092PCS12,Croston's,Croston's,,,1.3,1.5,35,39,4,11.4
1864-BB15258PCS10,"AMAZON.COM.KYDC,INC",BB15258PCS10,Croston's,Croston's,,,1.7,1.9,44,49,5,11.4
1864-FF31324PCS6,"AMAZON.COM.KYDC,INC",FF31324PCS6,Croston's,Croston's,,,1.3,1.5,35,39,4,11.4
1864-BB22025PCS2,"AMAZON.COM.KYDC,INC",BB22025PCS2,Croston's,Croston's,,,8.3,9.2,216,240,24,11.1
1864-BB28480,"AMAZON.COM.KYDC,INC",BB28480,Croston's,Croston's,,,219.7,244.2,5712,6348,636,11.1
1864-BB18835PCS12,"AMAZON.COM.KYDC,INC",BB18835PCS12,Croston's,Croston's,,,12.2,13.5,318,352,34,10.7
1864-BB12068,"AMAZON.COM.KYDC,INC",BB12068,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 12360 units),L13 nz-avg (OOS: fill-rate 4% over 12360 units),381.2,420.0,9912,10920,1008,10.2
1864-BB26739,"AMAZON.COM.KYDC,INC",BB26739,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 1952 units),L13 nz-avg (OOS: fill-rate 7% over 1952 units),169.2,186.5,4400,4848,448,10.2
1864-BB35101,"AMAZON.COM.KYDC,INC",BB35101,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 876 units),L13 nz-avg (OOS: fill-rate 4% over 876 units),59.1,65.1,1536,1692,156,10.2
1864-FF33139,"AMAZON.COM.KYDC,INC",FF33139,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 3% over 4134 units),L13 nz-avg (OOS: fill-rate 3% over 4134 units),159.0,175.2,4134,4554,420,10.2
1864-FF6554PX2,"AMAZON.COM.KYDC,INC",FF6554PX2,Croston's,Croston's,,,2.3,2.5,60,66,6,10.0
1864-BB13448PCS6,"AMAZON.COM.KYDC,INC",BB13448PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 195 units),L13 nz-avg (OOS: fill-rate 5% over 195 units),10.5,11.6,274,301,27,9.9
1864-FF15585PCS3,"AMAZON.COM.KYDC,INC",FF15585PCS3,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 208 units),L13 nz-avg (OOS: fill-rate 5% over 208 units),9.4,10.3,244,268,24,9.8
1864-FF33449,"AMAZON.COM.KYDC,INC",FF33449,Croston's,Croston's,,,283.8,311.5,7380,8100,720,9.8
1864-BB35100PCS6,"AMAZON.COM.KYDC,INC",BB35100PCS6,Croston's,Croston's,,,11.1,12.2,289,317,28,9.7
1864-FF27265,"AMAZON.COM.KYDC,INC",FF27265,Croston's,Croston's,,,369.9,405.9,9618,10554,936,9.7
1864-FF31293,"AMAZON.COM.KYDC,INC",FF31293,Croston's,Croston's,,,7.2,7.8,186,204,18,9.7
1864-FF34974,"AMAZON.COM.KYDC,INC",FF34974,Croston's,Croston's,,,57.0,62.5,1482,1626,144,9.7
1864-FF8652,"AMAZON.COM.KYDC,INC",FF8652,Croston's,Croston's,,,229.6,252.0,5970,6552,582,9.7
1864-BB0151PCS12,"AMAZON.COM.KYDC,INC",BB0151PCS12,Croston's,Croston's,,,5.6,6.2,146,160,14,9.6
1864-BB14658PCS10,"AMAZON.COM.KYDC,INC",BB14658PCS10,Croston's,Croston's,,,4.4,4.8,114,125,11,9.6
1864-BB16450PCS12,"AMAZON.COM.KYDC,INC",BB16450PCS12,Croston's,Croston's,,,8.8,9.6,228,250,22,9.6
1864-BB25518PCS6,"AMAZON.COM.KYDC,INC",BB25518PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 95 units),L13 nz-avg (OOS: fill-rate 5% over 95 units),6.0,6.6,157,172,15,9.6
1864-BB36237,"AMAZON.COM.KYDC,INC",BB36237,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 2% over 462 units),L13 nz-avg (OOS: fill-rate 2% over 462 units),24.0,26.3,624,684,60,9.6
1864-FF33877,"AMAZON.COM.KYDC,INC",FF33877,Croston's,Croston's,,,243.9,267.2,6342,6948,606,9.6
1864-BB33721,"AMAZON.COM.KYDC,INC",BB33721,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 1% over 666 units),L13 nz-avg (OOS: fill-rate 1% over 666 units),38.8,42.5,1008,1104,96,9.5
1864-BB34389,"AMAZON.COM.KYDC,INC",BB34389,Croston's,Croston's,,,9.7,10.6,252,276,24,9.5
1864-FF17828,"AMAZON.COM.KYDC,INC",FF17828,Croston's,Croston's,,,295.4,323.5,7680,8412,732,9.5
1864-BB36235,"AMAZON.COM.KYDC,INC",BB36235,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 696 units),L13 nz-avg (OOS: fill-rate 7% over 696 units),29.5,32.3,768,840,72,9.4
1864-BB36316,"AMAZON.COM.KYDC,INC",BB36316,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 516 units),L13 nz-avg (OOS: fill-rate 5% over 516 units),29.3,32.1,762,834,72,9.4
1864-BB33708,"AMAZON.COM.KYDC,INC",BB33708,Croston's,Croston's,,,619.8,677.3,16116,17610,1494,9.3
1864-BB21643PCS12,"AMAZON.COM.KYDC,INC",BB21643PCS12,Croston's,Croston's,,,4.2,4.6,109,119,10,9.2
1864-BB34826,"AMAZON.COM.KYDC,INC",BB34826,Croston's,Croston's,,,80.3,87.7,2088,2280,192,9.2
1864-BB35095PCS6,"AMAZON.COM.KYDC,INC",BB35095PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 163 units),L13 nz-avg (OOS: fill-rate 8% over 163 units),7.9,8.7,206,225,19,9.2
1864-BB35099PCS2,"AMAZON.COM.KYDC,INC",BB35099PCS2,Croston's,Croston's,,,0.8,0.9,22,24,2,9.1
1864-BB15073,"AMAZON.COM.KYDC,INC",BB15073,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 1032 units),L13 nz-avg (OOS: fill-rate 5% over 1032 units),74.5,81.2,1938,2112,174,9.0
1864-BB30189,"AMAZON.COM.KYDC,INC",BB30189,Croston's,Croston's,,,270.9,295.4,7044,7680,636,9.0
1864-BB13447CLR/12,"AMAZON.COM.KYDC,INC",BB13447CLR/12,Croston's,Croston's,,,129.7,141.2,3372,3672,300,8.9
1864-BB26614PCS2,"AMAZON.COM.KYDC,INC",BB26614PCS2,Croston's,Croston's,,,6.9,7.5,180,196,16,8.9
1864-FF31061,"AMAZON.COM.KYDC,INC",FF31061,Seasonal Baseline,Seasonal Baseline,L26 nz-avg (sparse L13),L26 nz-avg (sparse L13),25.8,28.2,672,732,60,8.9
1864-BB21237,"AMAZON.COM.KYDC,INC",BB21237,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 1104 units),L13 nz-avg (OOS: fill-rate 5% over 1104 units),57.7,62.8,1500,1632,132,8.8
1864-BB26614,"AMAZON.COM.KYDC,INC",BB26614,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 14% over 464 units),L13 nz-avg (OOS: fill-rate 14% over 464 units),31.4,34.2,816,888,72,8.8
1864-FF31607,"AMAZON.COM.KYDC,INC",FF31607,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 564 units),L13 nz-avg (OOS: fill-rate 5% over 564 units),26.3,28.6,684,744,60,8.8
1864-BB0096PCS12,"AMAZON.COM.KYDC,INC",BB0096PCS12,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 57 units),L13 nz-avg (OOS: fill-rate 7% over 57 units),1.8,1.9,46,50,4,8.7
1864-BB0149PCS12,"AMAZON.COM.KYDC,INC",BB0149PCS12,Croston's,Croston's,,,18.2,19.8,473,514,41,8.7
1864-BB15775PCS12,"AMAZON.COM.KYDC,INC",BB15775PCS12,Croston's,Croston's,,,14.5,15.8,378,411,33,8.7
1864-FF20210EC,"AMAZON.COM.KYDC,INC",FF20210EC,Croston's,Croston's,,,103.6,112.6,2694,2928,234,8.7
1864-BB0463,"AMAZON.COM.KYDC,INC",BB0463,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 9% over 780 units),L13 nz-avg (OOS: fill-rate 9% over 780 units),53.5,58.2,1392,1512,120,8.6
1864-BB0578PCS12,"AMAZON.COM.KYDC,INC",BB0578PCS12,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 232 units),L13 nz-avg (OOS: fill-rate 6% over 232 units),9.4,10.2,244,265,21,8.6
1864-BB35093PCS6,"AMAZON.COM.KYDC,INC",BB35093PCS6,Croston's,Croston's,,,5.8,6.3,151,164,13,8.6
1864-BB35904,"AMAZON.COM.KYDC,INC",BB35904,Croston's,Croston's,,,13.4,14.5,348,378,30,8.6
1864-FF31184,"AMAZON.COM.KYDC,INC",FF31184,Croston's,Croston's,,,9.3,10.2,243,264,21,8.6
1864-BB24711,"AMAZON.COM.KYDC,INC",BB24711,Croston's,Croston's,,,22.7,24.6,590,640,50,8.5
1864-BB35096PCS6,"AMAZON.COM.KYDC,INC",BB35096PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 307 units),L13 nz-avg (OOS: fill-rate 7% over 307 units),7.7,8.3,199,216,17,8.5
1864-BB35094PCS6,"AMAZON.COM.KYDC,INC",BB35094PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 196 units),L13 nz-avg (OOS: fill-rate 6% over 196 units),9.7,10.5,251,272,21,8.4
1864-BB0237PCS6,"AMAZON.COM.KYDC,INC",BB0237PCS6,Seasonal Baseline,Seasonal Baseline,"L13 all-weeks avg (default: 3 legitimate zero weeks, fill-rate 6%)","L13 all-weeks avg (default: 3 legitimate zero weeks, fill-rate 6%)",3.2,3.5,84,91,7,8.3
1864-BB0722,"AMAZON.COM.KYDC,INC",BB0722,Croston's,Croston's,,,5.5,6.0,144,156,12,8.3
1864-BB19109PCS6,"AMAZON.COM.KYDC,INC",BB19109PCS6,Croston's,Croston's,,,0.5,0.5,12,13,1,8.3
1864-BB20552PCS12,"AMAZON.COM.KYDC,INC",BB20552PCS12,Croston's,Croston's,,,0.9,1.0,24,26,2,8.3
1864-BB33723,"AMAZON.COM.KYDC,INC",BB33723,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 0% over 596 units),L13 nz-avg (OOS: fill-rate 0% over 596 units),22.2,24.0,576,624,48,8.3
1864-FF18912/24,"AMAZON.COM.KYDC,INC",FF18912/24,Croston's,Croston's,,,11.1,12.0,288,312,24,8.3
1864-FF4930AMZ2,"AMAZON.COM.KYDC,INC",FF4930AMZ2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 3% over 855 units),L13 nz-avg (OOS: fill-rate 3% over 855 units),20.8,22.5,540,585,45,8.3
1864-FF6639,"AMAZON.COM.KYDC,INC",FF6639,Croston's,Croston's,,,8.3,9.0,216,234,18,8.3
1864-BB0217PCS6,"AMAZON.COM.KYDC,INC",BB0217PCS6,Croston's,Croston's,,,2.3,2.5,61,66,5,8.2
1864-BB29122,"AMAZON.COM.KYDC,INC",BB29122,Croston's,Croston's,,,78.9,85.4,2052,2220,168,8.2
1864-BB0520,"AMAZON.COM.KYDC,INC",BB0520,Croston's,Croston's,,,8.5,9.2,222,240,18,8.1
1864-BB0578,"AMAZON.COM.KYDC,INC",BB0578,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 11832 units),L13 nz-avg (OOS: fill-rate 7% over 11832 units),923.1,997.4,24000,25932,1932,8.1
1864-BB33534,"AMAZON.COM.KYDC,INC",BB33534,Croston's,Croston's,,,119.1,128.8,3096,3348,252,8.1
1864-FF13880PCS2,"AMAZON.COM.KYDC,INC",FF13880PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 606 units),L13 nz-avg (OOS: fill-rate 4% over 606 units),28.6,30.9,744,804,60,8.1
1864-BB16450,"AMAZON.COM.KYDC,INC",BB16450,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 816 units),L13 nz-avg (OOS: fill-rate 6% over 816 units),63.7,68.8,1656,1788,132,8.0
1864-BB22118,"AMAZON.COM.KYDC,INC",BB22118,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 3276 units),L13 nz-avg (OOS: fill-rate 10% over 3276 units),159.2,171.9,4140,4470,330,8.0
1864-FF27395,"AMAZON.COM.KYDC,INC",FF27395,Croston's,Croston's,,,23.1,24.9,600,648,48,8.0
1864-FF32149,"AMAZON.COM.KYDC,INC",FF32149,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 1332 units),L13 nz-avg (OOS: fill-rate 10% over 1332 units),63.2,68.3,1644,1776,132,8.0
1864-FF31032,"AMAZON.COM.KYDC,INC",FF31032,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 1992 units),L13 nz-avg (OOS: fill-rate 4% over 1992 units),75.7,81.7,1968,2124,156,7.9
1864-BB0409EC,"AMAZON.COM.KYDC,INC",BB0409EC,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 486 units),L13 nz-avg (OOS: fill-rate 10% over 486 units),23.8,25.6,618,666,48,7.8
1864-BB0015,"AMAZON.COM.KYDC,INC",BB0015,Heuristic,Heuristic,,,6.0,6.5,156,168,12,7.7
1864-BB0466,"AMAZON.COM.KYDC,INC",BB0466,Croston's,Croston's,,,2719.8,2928.0,70716,76128,5412,7.7
1864-BB14812PCS5,"AMAZON.COM.KYDC,INC",BB14812PCS5,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 720 units),L13 nz-avg (OOS: fill-rate 6% over 720 units),27.9,30.1,726,782,56,7.7
1864-FF29834,"AMAZON.COM.KYDC,INC",FF29834,Croston's,Croston's,,,71.5,77.1,1860,2004,144,7.7
1864-FF30114,"AMAZON.COM.KYDC,INC",FF30114,Croston's,Croston's,,,18.0,19.4,468,504,36,7.7
1864-BB13437PCS3,"AMAZON.COM.KYDC,INC",BB13437PCS3,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 1176 units),L13 nz-avg (OOS: fill-rate 6% over 1176 units),132.7,142.8,3450,3712,262,7.6
1864-BB15077,"AMAZON.COM.KYDC,INC",BB15077,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 9% over 2298 units),L13 nz-avg (OOS: fill-rate 9% over 2298 units),161.5,173.8,4200,4518,318,7.6
1864-BB35095PCS2,"AMAZON.COM.KYDC,INC",BB35095PCS2,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 11% over 1428 units),L13 nz-avg (OOS: fill-rate 11% over 1428 units),159.8,171.9,4155,4470,315,7.6
1864-FF27260,"AMAZON.COM.KYDC,INC",FF27260,Croston's,Croston's,,,12.2,13.2,318,342,24,7.5
1864-FF32364,"AMAZON.COM.KYDC,INC",FF32364,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 810 units),L13 nz-avg (OOS: fill-rate 10% over 810 units),56.2,60.4,1460,1570,110,7.5
1864-BB26587,"AMAZON.COM.KYDC,INC",BB26587,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 2% over 12420 units),L13 nz-avg (OOS: fill-rate 2% over 12420 units),736.5,790.8,19150,20560,1410,7.4
1864-FF31327,"AMAZON.COM.KYDC,INC",FF31327,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 8088 units),L13 nz-avg (OOS: fill-rate 5% over 8088 units),306.5,328.2,7968,8532,564,7.1
1864-FF33137,"AMAZON.COM.KYDC,INC",FF33137,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 1800 units),L13 nz-avg (OOS: fill-rate 8% over 1800 units),84.7,90.7,2202,2358,156,7.1
1864-BB33528,"AMAZON.COM.KYDC,INC",BB33528,Croston's,Croston's,,,9.9,10.6,258,276,18,7.0
1864-BB31473,"AMAZON.COM.KYDC,INC",BB31473,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 4680 units),L13 nz-avg (OOS: fill-rate 6% over 4680 units),211.8,226.2,5508,5880,372,6.8
1864-BB0098PCS12,"AMAZON.COM.KYDC,INC",BB0098PCS12,Croston's,Croston's,,,2.3,2.5,60,64,4,6.7
1864-BB0231,"AMAZON.COM.KYDC,INC",BB0231,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 2514 units),L13 nz-avg (OOS: fill-rate 5% over 2514 units),166.2,177.2,4320,4608,288,6.7
1864-FF29833,"AMAZON.COM.KYDC,INC",FF29833,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 2028 units),L13 nz-avg (OOS: fill-rate 8% over 2028 units),78.0,83.1,2028,2160,132,6.5
1864-FF7218,"AMAZON.COM.KYDC,INC",FF7218,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 5% over 1656 units),L13 nz-avg (OOS: fill-rate 5% over 1656 units),85.4,90.9,2220,2364,144,6.5
1864-BB0098,"AMAZON.COM.KYDC,INC",BB0098,Croston's,Croston's,,,1199.1,1276.2,31176,33180,2004,6.4
1864-FF31480,"AMAZON.COM.KYDC,INC",FF31480,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 2100 units),L13 nz-avg (OOS: fill-rate 7% over 2100 units),65.5,69.7,1704,1812,108,6.3
1864-FF31605,"AMAZON.COM.KYDC,INC",FF31605,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 1464 units),L13 nz-avg (OOS: fill-rate 8% over 1464 units),88.6,94.2,2304,2448,144,6.2
1864-BB16853,"AMAZON.COM.KYDC,INC",BB16853,Croston's,Croston's,,,47.5,50.3,1236,1308,72,5.8
1864-BB26280,"AMAZON.COM.KYDC,INC",BB26280,Croston's,Croston's,,,64.2,67.8,1668,1764,96,5.8
1864-FF33135,"AMAZON.COM.KYDC,INC",FF33135,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 3180 units),L13 nz-avg (OOS: fill-rate 6% over 3180 units),211.8,223.8,5508,5820,312,5.7
1864-BB33243,"AMAZON.COM.KYDC,INC",BB33243,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 1308 units),L13 nz-avg (OOS: fill-rate 8% over 1308 units),65.5,69.2,1704,1800,96,5.6
1864-BB15230,"AMAZON.COM.KYDC,INC",BB15230,Croston's,Croston's,,,148.1,156.2,3850,4060,210,5.5
1864-BB0125PCS6,"AMAZON.COM.KYDC,INC",BB0125PCS6,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (post-event drawdown: 3/4 recent zeros after 100% active prior period),L13 nz-avg (post-event drawdown: 3/4 recent zeros after 100% active prior period),1.4,1.5,37,39,2,5.4
1864-BB27359,"AMAZON.COM.KYDC,INC",BB27359,Croston's,Croston's,,,382.2,402.9,9936,10476,540,5.4
1864-BB0092,"AMAZON.COM.KYDC,INC",BB0092,Croston's,Croston's,,,228.0,240.0,5928,6240,312,5.3
1864-BB21641PCS2,"AMAZON.COM.KYDC,INC",BB21641PCS2,Croston's,Croston's,,,40.2,42.2,1044,1098,54,5.2
1864-BB26922,"AMAZON.COM.KYDC,INC",BB26922,Croston's,Croston's,,,607.2,638.8,15786,16608,822,5.2
1864-BB0152PCS12,"AMAZON.COM.KYDC,INC",BB0152PCS12,Croston's,Croston's,,,1.5,1.6,39,41,2,5.1
1864-BB0216,"AMAZON.COM.KYDC,INC",BB0216,Croston's,Croston's,,,18.2,19.2,474,498,24,5.1
1864-BB27773PCS10,"AMAZON.COM.KYDC,INC",BB27773PCS10,Seasonal Baseline,Seasonal Baseline,"L13 all-weeks avg (default: 3 legitimate zero weeks, fill-rate 10%)","L13 all-weeks avg (default: 3 legitimate zero weeks, fill-rate 10%)",1.5,1.6,39,41,2,5.1
1864-FF18908/24,"AMAZON.COM.KYDC,INC",FF18908/24,Heuristic,Heuristic,,,54.5,57.2,1416,1488,72,5.1
1864-FF32840PCS4,"AMAZON.COM.KYDC,INC",FF32840PCS4,Croston's,Croston's,,,1.5,1.6,39,41,2,5.1
1864-BB15075,"AMAZON.COM.KYDC,INC",BB15075,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 1452 units),L13 nz-avg (OOS: fill-rate 8% over 1452 units),167.5,175.8,4356,4572,216,5.0
1864-BB35093,"AMAZON.COM.KYDC,INC",BB35093,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 11% over 3336 units),L13 nz-avg (OOS: fill-rate 11% over 3336 units),253.4,266.1,6588,6918,330,5.0
