key,cust,mstyle,desc,model,baseline_mode,old_wkly,new_wkly,old_26w,new_26w,delta_pct
1864-BB30930PCS12,"AMAZON.COM.KYDC,INC",BB30930PCS12,Clorox Fraganzia - 6pk Garbage Can Stick,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 12% over 57 units),2.2,6.6,56,172,207.1
1864-BB22095PCS2,"AMAZON.COM.KYDC,INC",BB22095PCS2,Fabuloso -Sponges Rainbow 6 CT - 2 COUNT,Sparse Intermittent,,1.4,4.2,36,108,200.0
1864-FF12279PCS2,"AMAZON.COM.KYDC,INC",FF12279PCS2,"Arm & Hammer Dental Treats for Dogs, Nub",Croston's,,0.1,0.3,3,9,200.0
1864-BB29712PCS6,"AMAZON.COM.KYDC,INC",BB29712PCS6,Clorox Fraganzia - Dryer Sheets - 80ct -,Heuristic,,0.5,1.3,12,35,191.7
1864-FF14364PCS12,"AMAZON.COM.KYDC,INC",FF14364PCS12,Wet Ones Hypoallergenic Wipe for Dogs - ,Croston's,,0.3,1.0,9,26,188.9
1864-FF12354,"AMAZON.COM.KYDC,INC",FF12354,Burt's Bees Deodorizing Shampoo for Dogs,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 156 units),6.0,16.6,156,432,176.9
1864-FF6639,"AMAZON.COM.KYDC,INC",FF6639,Burt's Bees Deodorizing Shampoo for Dogs,Croston's,,3.0,8.3,78,216,176.9
1864-BB35519,"AMAZON.COM.KYDC,INC",BB35519,"Glad - 16oz Paper Bowls, 50ct - Semielli",Heuristic,,5.5,15.2,144,396,175.0
1864-BB11483,"AMAZON.COM.KYDC,INC",BB11483,"Kingsford - 10"" Heavy Duty Round Paper P",Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 7752 units),337.2,918.0,8766,23868,172.3
1864-FF14364,"AMAZON.COM.KYDC,INC",FF14364,Wet Ones Hypoallergenic Wipe for Dogs - ,Croston's,,163.8,432.0,4260,11232,163.7
1864-BB18835PCS12,"AMAZON.COM.KYDC,INC",BB18835PCS12,Clorox Fraganzia - Air Freshener Beads -,Croston's,,5.2,13.5,136,352,158.8
1864-FF33546,"AMAZON.COM.KYDC,INC",FF33546,Burt's Bees Manuka Honey Dental Water Ad,Croston's,,11.5,28.6,300,744,148.0
1864-BB35100PCS6,"AMAZON.COM.KYDC,INC",BB35100PCS6,Gladware - To Go Snack 24oz - Medium Rec,Croston's,,5.1,12.2,132,317,140.2
1864-FF12376PCS6,"AMAZON.COM.KYDC,INC",FF12376PCS6,Biosilk for Dogs Silk Therapy Detangling,Seasonal Baseline,"L13 all-weeks avg (default: 3 legitimate zero weeks, fill-rate 6%)",1.3,3.1,34,80,135.3
1864-SF8169PCS72,"AMAZON.COM.KYDC,INC",SF8169PCS72,Arm & Hammer Tartar Control Enzymatic To,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 2% over 66 units),2.6,6.0,67,157,134.3
1864-FF33568,"AMAZON.COM.KYDC,INC",FF33568,Arm & Hammer: Simply Calm Pin/Bristle Du,Croston's,,17.1,39.7,444,1032,132.4
1864-BB15069,"AMAZON.COM.KYDC,INC",BB15069,"Glad - 10"" Round Paper Plates, 50ct - Ha",Croston's,,6.0,13.8,156,360,130.8
1864-BB33528,"AMAZON.COM.KYDC,INC",BB33528,Clorox Fraganzia - In-Wash Scent Booster,Croston's,,4.6,10.6,120,276,130.0
1864-BB0236PCS6,"AMAZON.COM.KYDC,INC",BB0236PCS6,Glad - Assorted Cutlery - 150ct - Clear ,Croston's,,0.3,0.6,7,16,128.6
1864-BB26737PCS10,"AMAZON.COM.KYDC,INC",BB26737PCS10,Glad Kids - 6oz Paper Snack Bowls NO lid,Croston's,,0.3,0.6,7,16,128.6
1864-FF33542,"AMAZON.COM.KYDC,INC",FF33542,Burt's Bees Manuka Honey Dental Kit for ,Croston's,,11.1,24.0,288,624,116.7
1864-FF22072,"AMAZON.COM.KYDC,INC",FF22072,"Arm & Hammer: Tools 7"" Wood Mix Pliers D",Seasonal Baseline,L13 nz-avg (OOS: fill-rate 0% over 1536 units),57.2,123.7,1488,3216,116.1
1864-BB15775PCS12,"AMAZON.COM.KYDC,INC",BB15775PCS12,Glad - Standard Size Cutlery - Assorted ,Croston's,,7.3,15.8,191,411,115.2
1864-BB0150,"AMAZON.COM.KYDC,INC",BB0150,Clorox Fraganzia - Air Freshener Beads -,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 7332 units),399.2,850.6,10380,22116,113.1
1864-FF18909/24,"AMAZON.COM.KYDC,INC",FF18909/24,Harry Potter: Snitch Pet Squeaker Toy,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 1320 units),60.0,127.4,1560,3312,112.3
1864-FF28459PCS2,"AMAZON.COM.KYDC,INC",FF28459PCS2,"Dole: Dog Chews, Assorted (Strawberry + ",Croston's,,5.1,10.6,132,276,109.1
1864-BB15841,"AMAZON.COM.KYDC,INC",BB15841,Kingsford - Stainless Steel 3pc BBQ Tool,Croston's,,55.4,114.5,1440,2976,106.7
1864-FF10159AMZ6,"AMAZON.COM.KYDC,INC",FF10159AMZ6,"Arm & Hammer Super Deodorizing Shampoo, ",Sparse Intermittent,,16.1,32.8,418,852,103.8
1864-BB35100,"AMAZON.COM.KYDC,INC",BB35100,"Gladware To Go - Snack 24oz, Medium Rect",Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 702 units),29.3,59.3,762,1542,102.4
1864-BB15776PCS12,"AMAZON.COM.KYDC,INC",BB15776PCS12,Glad - Standard Size Cutlery - Plastic F,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 93 units),5.1,10.3,133,268,101.5
1864-BB0018PCS2,"AMAZON.COM.KYDC,INC",BB0018PCS2,Clorox - Dishwashing Liquid w/ Oxi - 26o,OTB (zero),,1.0,0.0,27,0,-100.0
1864-BB0092AMZ12,"AMAZON.COM.KYDC,INC",BB0092AMZ12,"Glad Everyday - 8.5"" Round Paper Plates ",Croston's,,1.0,0.0,26,0,-100.0
1864-BB0100PCS12,"AMAZON.COM.KYDC,INC",BB0100PCS12,"Glad - Everyday Round Paper Plates - 10""",Croston's,,1.0,0.0,26,0,-100.0
1864-BB0192PCS6,"AMAZON.COM.KYDC,INC",BB0192PCS6,Clorox Fraganzia - Dryer Sheets - 105ct ,OTB (zero),,0.7,0.0,18,0,-100.0
1864-BB11603,"AMAZON.COM.KYDC,INC",BB11603,Clorox Fraganzia - Refresher Spray - 22o,Inactive,,189.2,0.0,4920,0,-100.0
1864-BB14500PCS6,"AMAZON.COM.KYDC,INC",BB14500PCS6,Glad Kids - 12oz Paper Snack Bowl no lid,Croston's,,1.0,0.0,26,0,-100.0
1864-BB16534,"AMAZON.COM.KYDC,INC",BB16534,Clorox Fraganzia - Aerosol Air Freshener,Croston's,,13.4,0.0,348,0,-100.0
1864-BB19944,"AMAZON.COM.KYDC,INC",BB19944,"Glad Holiday - 12oz Paper Cups, 20ct - S",Inactive,,11.1,0.0,288,0,-100.0
1864-BB21644PCS12,"AMAZON.COM.KYDC,INC",BB21644PCS12,Clorox Fraganzia - Small Spaces Air Fres,Sparse Intermittent,,0.4,0.8,10,20,100.0
1864-BB23576,"AMAZON.COM.KYDC,INC",BB23576,Clorox - Dishwashing Liquid w/ Oxi- 40oz,Croston's,,3.0,0.0,78,0,-100.0
1864-BB23576PCS6,"AMAZON.COM.KYDC,INC",BB23576PCS6,Clorox - Dishwashing Liquid w/ Oxi- 40oz,Croston's,,0.1,0.0,2,0,-100.0
1864-BB26279,"AMAZON.COM.KYDC,INC",BB26279,"Glad Holiday - 10"" Round Paper Plates, 2",Inactive,,6.9,0.0,180,0,-100.0
1864-BB26280PCS12,"AMAZON.COM.KYDC,INC",BB26280PCS12,"Glad - Holiday Round Paper Plates - 7"" -",Inactive,,1.2,0.0,32,0,-100.0
1864-BB26739PCS8,"AMAZON.COM.KYDC,INC",BB26739PCS8,Glad Kids - 12oz Paper Bowls 40ct - Froz,Croston's,,0.5,0.0,13,0,-100.0
1864-BB30278,"AMAZON.COM.KYDC,INC",BB30278,Clorox Fraganzia - Small Spaces Air Fres,Inactive,,7.4,0.0,192,0,-100.0
1864-BB31374,"AMAZON.COM.KYDC,INC",BB31374,"Glad Fall - Paper Snack Trays, 32ct - Fa",Seasonal Baseline,L13 nz-avg (OOS: fill-rate 0% over 88 units),8.0,0.0,208,0,-100.0
1864-BB31649PCS12,"AMAZON.COM.KYDC,INC",BB31649PCS12,Glad Everyday - 18oz Printed Clear Plast,Inactive,,0.1,0.0,3,0,-100.0
1864-BB36980,"AMAZON.COM.KYDC,INC",BB36980,Kingsford Butcher Paper - PRINTED,Croston's,,6.0,0.0,156,0,-100.0
1864-FF12283PCS6,"AMAZON.COM.KYDC,INC",FF12283PCS6,"Arm & Hammer Dental Treats for Dogs, Nub",Croston's,,0.2,0.0,4,0,-100.0
1864-FF18913,"AMAZON.COM.KYDC,INC",FF18913,Harry Potter: 4PK Hogwarts Pride Pet Ten,Croston's,,27.7,55.4,720,1440,100.0
1864-FF22989,"AMAZON.COM.KYDC,INC",FF22989,Disney Pixar: Halloween Monsters Inc. Su,Sparse Intermittent,,1.8,3.7,48,96,100.0
1864-FF23328,"AMAZON.COM.KYDC,INC",FF23328,DC Comics: Halloween Aquaman Costume - E,Sparse Intermittent,,1.8,3.7,48,96,100.0
1864-FF23339/12,"AMAZON.COM.KYDC,INC",FF23339/12,"Dr. Seuss: Holiday 9"" Merry Grinchmas Gr",Inactive,,186.5,0.0,4848,0,-100.0
1864-FF28429,"AMAZON.COM.KYDC,INC",FF28429,"DISNEY PIXAR: Monsters, Inc. Sulley & Mi",Croston's,,24.0,0.0,624,0,-100.0
1864-FF30363,"AMAZON.COM.KYDC,INC",FF30363,"Disney Mickey & Friends: 12"" Minnie Mous",Croston's,,12.0,0.0,312,0,-100.0
1864-FF30758PCS3,"AMAZON.COM.KYDC,INC",FF30758PCS3,Wet Ones - Antibacterial XL Bathing Wipe,Croston's,,8.0,0.0,208,0,-100.0
1864-FF30784,"AMAZON.COM.KYDC,INC",FF30784,Chi: 2 in 1 Dematting Deshedding Rake Do,Croston's,,13.8,0.0,360,0,-100.0
1864-FF31456,"AMAZON.COM.KYDC,INC",FF31456,Arm and Hammer Mighties by Treadz Treats,Inactive,,1.8,0.0,48,0,-100.0
1864-FF31605PCS12,"AMAZON.COM.KYDC,INC",FF31605PCS12,Fresh Step Drawstring Litter Box Liners ,Croston's,,0.5,0.0,13,0,-100.0
1864-FF32464,"AMAZON.COM.KYDC,INC",FF32464,"The Grinch Treat Advent Calendar: ""Whovi",Inactive,,821.1,0.0,21348,0,-100.0
1864-FF32653,"AMAZON.COM.KYDC,INC",FF32653,Burt's Bees Manuka Honey+ Ginger Dental ,Sparse Intermittent,,5.5,11.1,144,288,100.0
1864-FF32655,"AMAZON.COM.KYDC,INC",FF32655,Burt's Bees Manuka Honey+ Ginger Dental ,Croston's,,6.0,12.0,156,312,100.0
1864-FF32656,"AMAZON.COM.KYDC,INC",FF32656,Burt's Bees Manuka Honey+ Ginger Dental ,Sparse Intermittent,,6.5,12.9,168,336,100.0
1864-FF32657,"AMAZON.COM.KYDC,INC",FF32657,Burt's Bees Manuka Honey+ Ginger Dental ,Croston's,,6.0,12.0,156,312,100.0
1864-FF34428,"AMAZON.COM.KYDC,INC",FF34428,Palmer's for Pets Puppy Wipes with Cocoa,Croston's,,9.2,0.0,240,0,-100.0
1864-FF4577PCS24,"AMAZON.COM.KYDC,INC",FF4577PCS24,Arm & Hammer Fresh Breath Dental Water A,Croston's,,0.5,0.0,13,0,-100.0
1864-FF4849CP6,"AMAZON.COM.KYDC,INC",FF4849CP6,Burts Bees Hypoallergenic Shampoo with S,Croston's,,1.0,0.0,26,0,-100.0
1864-FF4923AMZ2,"AMAZON.COM.KYDC,INC",FF4923AMZ2,Burts Bees Calming Shampoo with Lavender,Sparse Intermittent,,0.9,1.8,24,48,100.0
1864-FF4934,"AMAZON.COM.KYDC,INC",FF4934,Burt's Bees Eye Wash for Dogs 4oz,Inactive,,132.9,0.0,3456,0,-100.0
1864-FF4934PCS24,"AMAZON.COM.KYDC,INC",FF4934PCS24,Burts Bees Eye Wash with Saline Solution,Croston's,,0.3,0.0,7,0,-100.0
1864-FF4935PCS24,"AMAZON.COM.KYDC,INC",FF4935PCS24,Burts Bees Tear Stain Remover with Chamo,Sparse Intermittent,,0.1,0.2,2,4,100.0
1864-FF7261PCS6,"AMAZON.COM.KYDC,INC",FF7261PCS6,Burts Bees Deodorizing Spray with Apple ,Croston's,,0.5,0.0,13,0,-100.0
1864-FF7297AMZN,"AMAZON.COM.KYDC,INC",FF7297AMZN,Burt's Bees Waterless Shampoo for Cats 1,Heuristic,,12.0,24.0,312,624,100.0
1864-FF8649PCS24,"AMAZON.COM.KYDC,INC",FF8649PCS24,Glad for Pets Waste Bags Refill Rolls Tr,Croston's,,1.0,0.0,26,0,-100.0
1864-FF7112EC,"AMAZON.COM.KYDC,INC",FF7112EC,"BioSilk for Dogs Whitening Shampoo, 12 O",New/Relaunch,,474.7,6.0,12342,156,-98.7
1864-FF7115EC,"AMAZON.COM.KYDC,INC",FF7115EC,"BioSilk for Dogs Puppy Tearless Shampoo,",New/Relaunch,,287.5,6.0,7476,156,-97.9
1864-FF22123,"AMAZON.COM.KYDC,INC",FF22123,Nightmare Before Christmas: Halloween Pl,Sparse Intermittent,,118.2,2.8,3072,72,-97.7
1864-FF8991,"AMAZON.COM.KYDC,INC",FF8991,Fresh Step Litter Box Scent Crystals in ,New/Relaunch,,263.1,6.0,6840,156,-97.7
1864-FF4771PCS6,"AMAZON.COM.KYDC,INC",FF4771PCS6,Burts Bees Waterless Shampoo Spray with ,Croston's,,0.9,1.7,23,45,95.7
1864-FF10475AMZ2,"AMAZON.COM.KYDC,INC",FF10475AMZ2,Arm & Hammer Soothing Oatmeal Shampoo fo,Sparse Intermittent,,26.5,1.4,690,36,-94.8
1864-FF5777,"AMAZON.COM.KYDC,INC",FF5777,Burt's Bees Detangling Spray for Dogs 10,New/Relaunch,,115.6,6.0,3006,156,-94.8
1864-FF10465,"AMAZON.COM.KYDC,INC",FF10465,A&H Pet Fresh Deodorizing Scented Gel Pe,Croston's,,86.8,168.9,2256,4392,94.7
1864-BB26584PCS8,"AMAZON.COM.KYDC,INC",BB26584PCS8,Glad Kids - 12oz Paper Bowls 40ct - Flor,Croston's,,0.7,0.0,17,1,-94.1
1864-BB22095,"AMAZON.COM.KYDC,INC",BB22095,Fabuloso -Sponges Rainbow 6 CT,Croston's,,18.7,1.4,486,36,-92.6
1864-FF12375PCS6,"AMAZON.COM.KYDC,INC",FF12375PCS6,Biosilk for Dogs Silk Therapy Detangling,Croston's,,1.0,2.0,27,52,92.6
1864-FF5772,"AMAZON.COM.KYDC,INC",FF5772,Burts Bees Anti-Hairball wipes Cat -50ct,Sparse Intermittent,,11.5,0.9,300,24,-92.0
1864-FF27838,"AMAZON.COM.KYDC,INC",FF27838,"Mickey & Friends: 6"" Holiday Mickey & Mi",Croston's,,11.1,0.9,288,24,-91.7
1864-FF5769,"AMAZON.COM.KYDC,INC",FF5769,Burt's Bees Tearless Kitten Shampoo 10oz,New/Relaunch,,63.7,6.0,1656,156,-90.6
1864-FF28547,"AMAZON.COM.KYDC,INC",FF28547,Disney: The Lion King Simba Plush Rope B,Croston's,,8.3,15.7,216,408,88.9
1864-BB30587,"AMAZON.COM.KYDC,INC",BB30587,Clorox Fraganzia - Liquid Detergent - 40,New/Relaunch,,49.4,6.0,1284,156,-87.9
1864-BB35639,"AMAZON.COM.KYDC,INC",BB35639,"Glad Americana - 10"" Round Paper Plates,",Croston's,,3.7,6.9,96,180,87.5
1864-FF8431,"AMAZON.COM.KYDC,INC",FF8431,Arm & Hammer: Nubbies T-Rex Dental Toy f,Inactive+Floor (R3),,191.1,24.0,4968,624,-87.4
1864-FF4933PCS2,"AMAZON.COM.KYDC,INC",FF4933PCS2,Burts Bees Ear Cleaner with Peppermint a,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 264 units),14.3,26.8,372,696,87.1
1864-FF7297AMZ,"AMAZON.COM.KYDC,INC",FF7297AMZ,Burt's Bees Waterless Shampoo for Cats 1,Sparse Intermittent,,261.0,488.1,6786,12690,87.0
1864-FF28036PCS2,"AMAZON.COM.KYDC,INC",FF28036PCS2,Wags & Wiggles Deterrent Training Spray ,Croston's,,4.4,0.6,114,15,-86.8
1864-BB0015,"AMAZON.COM.KYDC,INC",BB0015,Clorox - Dishwashing Liquid w/ Oxi - 26o,Heuristic,,3.5,6.5,90,168,86.7
1864-BB36319,"AMAZON.COM.KYDC,INC",BB36319,"Glad - 16oz Paper Bowls, 50ct - Blue Vic",Croston's,,3.5,0.5,90,12,-86.7
1864-BB38562,"AMAZON.COM.KYDC,INC",BB38562,"G4K Disney - 3oz Bath Cups, 100ct - Lilo",Heuristic,,8.3,1.2,216,30,-86.1
1864-BB0235PCS2,"AMAZON.COM.KYDC,INC",BB0235PCS2,Glad - Everyday Paper Bowls - 12oz - 20c,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 351 units),20.0,3.2,519,84,-83.8
1864-BB0705EC,"AMAZON.COM.KYDC,INC",BB0705EC,Clorox Scentiva Ã‚Â– Refresher Spray Ã‚Â,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 2% over 15124 units),697.6,1279.8,18138,33276,83.5
1864-FF10162AMZ2,"AMAZON.COM.KYDC,INC",FF10162AMZ2,"Arm & Hammer Tearless Puppy Shampoo, 20o",Croston's,,18.0,3.0,468,78,-83.3
1864-FF16705,"AMAZON.COM.KYDC,INC",FF16705,Arm and Hammer Cat Litter Crystals- Soot,Sparse Intermittent,,265.8,44.3,6912,1152,-83.3
1864-FF35927,"AMAZON.COM.KYDC,INC",FF35927,"Dole: Winter Dog Chews, Snowy Strawberry",Croston's,,151.8,26.3,3948,684,-82.7
1864-BB16853,"AMAZON.COM.KYDC,INC",BB16853,Clorox Scentiva Ã‚Â– Hand Soap Ã‚Â– 14oz,Croston's,,27.7,50.3,720,1308,81.7
1864-FF12887PCS12,"AMAZON.COM.KYDC,INC",FF12887PCS12,A&H Pet Scents Solid Gel Deodorizer - Fr,Croston's,,3.3,5.9,85,154,81.2
1864-BB31641,"AMAZON.COM.KYDC,INC",BB31641,"Glad Fall - 10""  Round Paper Plates , 58",Croston's,,74.1,133.4,1926,3468,80.1
1864-BB31473PCS2,"AMAZON.COM.KYDC,INC",BB31473PCS2,Glad Kids - 3oz Paper Bath Cup - 24ct - ,Croston's,,55.4,11.1,1440,288,-80.0
1864-FF29834PCS6,"AMAZON.COM.KYDC,INC",FF29834PCS6,"Dole Dog Biscuits, Assorted Bag (Spinach",Croston's,,1.2,2.1,30,54,80.0
1864-FF8831PCS3,"AMAZON.COM.KYDC,INC",FF8831PCS3,Arm & Hammer Super Treadz Gorilla Toy fo,Croston's,,0.8,1.4,20,36,80.0
1864-FF5952EC,"AMAZON.COM.KYDC,INC",FF5952EC,Arm & Hammer Clinical Care Dental Rinse ,Heuristic,,939.7,192.0,24432,4992,-79.6
1864-BB28360PCS12,"AMAZON.COM.KYDC,INC",BB28360PCS12,"Glad Kids - 8.5"" Round Paper Plate - 40c",Croston's,,0.5,1.0,14,25,78.6
1864-FF27687,"AMAZON.COM.KYDC,INC",FF27687,"GLAD - Washable Training Pad - Small 18""",Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 387 units),25.3,45.0,657,1170,78.1
1864-FF31068,"AMAZON.COM.KYDC,INC",FF31068,Palmer's for Pets Facial Cleansing Pads ,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 9% over 11052 units),1422.0,311.5,36972,8100,-78.1
1864-BB35099,"AMAZON.COM.KYDC,INC",BB35099,Gladware - Matchware Value Pack - 20ct (,Croston's,,145.5,258.8,3782,6730,77.9
1864-FF5769PCS6,"AMAZON.COM.KYDC,INC",FF5769PCS6,Burts Bees Tearless Kitten Shampoo & ***,Sparse Intermittent,,0.7,1.2,18,32,77.8
1864-FF37780,"AMAZON.COM.KYDC,INC",FF37780,Arm & Hammer Odor Control Wipes - 100 co,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 4% over 2364 units),64.6,114.5,1680,2976,77.1
1864-BB35517,"AMAZON.COM.KYDC,INC",BB35517,"Glad - 18oz Plastic Cups, 20ct - Semiell",Sparse Intermittent,,6.0,1.4,156,36,-76.9
1864-BB31553,"AMAZON.COM.KYDC,INC",BB31553,"G4K - 12oz Paper Snack Bowls w/o lid, 20",Croston's,,709.2,166.8,18438,4338,-76.5
1864-BB36234,"AMAZON.COM.KYDC,INC",BB36234,Glad Air Fryer Liners with Walls (7.9Ã‚Â,Croston's,,82.6,19.4,2148,504,-76.5
1864-BB22255,"AMAZON.COM.KYDC,INC",BB22255,"Glad - 10"" Round Paper Plates, 44ct - Bl",New/Relaunch,,24.9,6.0,648,156,-75.9
1864-FF7120EC,"AMAZON.COM.KYDC,INC",FF7120EC,BioSilk for Dogs Detangling and Shine Sp,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 10% over 17910 units),2009.3,485.1,52242,12612,-75.9
1864-FF8882PCS6,"AMAZON.COM.KYDC,INC",FF8882PCS6,Glad for Pets Jumbo Activated Carbon Tra,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 159 units),6.1,10.7,158,278,75.9
