
[run] BASELINE (no smoothing)
      C:\Python314\python.exe C:\Users\steven\.claude\skills\inventory-forecaster-cc\scripts\inventory_forecaster.py --customer WAL MART STORES --dry-run --out C:\Users\steven\.claude\skills\inventory-forecaster-cc\backtest_vp_q2_base.json

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  Manual projection columns: 04_19_W1 → 10_11_W26

[1/4] Pulling projections from Quickbase ...
      166 records retrieved

[2/4] Pulling master pack + Season from Styles ...
      166 master pack records loaded (0 with Season tag)

[3/4] Running forecasts ...
      Mstyle-family index: 158 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 33.7)
      166 forecasts complete in 0.0s
      Croston's: 65  Heuristic: 6  Inactive: 9  New/Relaunch: 7  OTB (zero): 2  Seasonal Baseline: 62  Sparse Intermittent: 15  Bi-weekly enforced: 0  Alerts (>5%): 140
      Saved → C:\Users\steven\.claude\skills\inventory-forecaster-cc\backtest_vp_q2_base.json
      Open viewer: python scripts/viewer.py --results backtest_vp_q2_base.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  166 records  |  Total 26w demand: 2,977,704
  23011-BB35904                      +96.0%  New/Relaunch                156       3,900
  23011-FF10159                      +35.3%  Seasonal Baseline          273,390     202,031
  23011-FF10556                       +8.3%  Croston's                   715         780
  23011-FF11353                      +20.0%  Croston's                   312         260
  23011-FF11926                     +100.0%  Croston's                     0         130
  23011-FF11927                     +100.0%  Inactive                      0          26
  23011-FF12375                       +7.6%  Seasonal Baseline           16,740      15,553
  23011-FF12377                      +56.2%  Croston's                   114         260
  23011-FF12508                      +23.1%  Croston's                   480         390
  23011-FF12659                      +22.1%  Seasonal Baseline           58,752      48,128
  23011-FF12660                     +119.0%  Seasonal Baseline           87,840      40,109
  23011-FF12689                      +28.4%  Seasonal Baseline            2,328       3,250
  23011-FF12837                      +10.3%  Seasonal Baseline            1,050       1,170
  23011-FF12858                       +9.0%  Seasonal Baseline           53,556      58,826
  23011-FF12859                      +12.0%  Seasonal Baseline           89,808      80,217
  23011-FF12887                      +20.0%  Croston's                   780         650
  23011-FF13154                      +16.9%  Croston's                   912         780
  23011-FF13874                      +25.0%  Seasonal Baseline              780       1,040
  23011-FF13875                      +80.0%  Croston's                    78         390
  23011-FF13876                      +24.8%  Croston's                   684         910
  23011-FF13877                      +61.9%  Croston's                   198         520
  23011-FF13878                      +46.0%  Croston's                   702       1,300
  23011-FF13879                      +20.5%  Croston's                 1,446       1,820
  23011-FF13880                      +25.0%  Croston's                   780       1,040
  23011-FF13885                      +23.8%  Seasonal Baseline              990       1,300
  23011-FF14469                       +6.6%  Seasonal Baseline           34,212      32,089
  23011-FF14584                       +8.4%  Croston's                 1,040       1,135
  23011-FF15592                      +51.0%  Seasonal Baseline           61,056      40,447
  23011-FF15595                      +13.6%  Seasonal Baseline           30,036      34,768
  23011-FF15718                     +100.0%  Croston's                     0       1,560
  23011-FF16704                      +10.0%  Seasonal Baseline              936       1,040
  23011-FF16705                      +40.0%  Croston's                   936       1,560
  23011-FF18956                     +100.0%  Croston's                     0         260
  23011-FF19341                       +5.6%  Sparse Intermittent            1,146       1,085
  23011-FF19546                      +72.3%  Croston's                   288       1,040
  23011-FF19598                      +12.1%  Seasonal Baseline            5,994       5,349
  23011-FF20001                       +9.6%  Seasonal Baseline          121,680     111,054
  23011-FF22070                     +100.0%  Inactive                      0         260
  23011-FF22071                     +100.0%  Inactive                      0         130
  23011-FF22317                      +20.0%  Croston's                   312         390
  23011-FF23346                      +26.2%  Sparse Intermittent              192         260
  23011-FF25556                     +140.0%  Croston's                   312         130
  23011-FF25667                     +380.0%  Heuristic                   624         130
  23011-FF25670                     +380.0%  Croston's                   624         130
  23011-FF25689                      +84.6%  Sparse Intermittent              240         130
  23011-FF25895                     +100.0%  Heuristic                     0         312
  23011-FF27687                      +75.8%  Croston's                    63         260
  23011-FF27997                      +60.0%  Croston's                   260         650
  23011-FF28429                     +100.0%  Heuristic                     0         130
  23011-FF28457                      +79.1%  Croston's                 8,508       4,750
  23011-FF28459                      +51.0%  Seasonal Baseline            9,816       6,500
  23011-FF29220                      +52.0%  Croston's                   312         650
  23011-FF29833                      +40.0%  Croston's                   312         520
  23011-FF29834                       +6.7%  Croston's                 1,248       1,170
  23011-FF30114                      +20.0%  Croston's                   312         390
  23011-FF30361                      +63.1%  Croston's                    48         130
  23011-FF30363                     +380.0%  Croston's                   624         130
  23011-FF30364                     +140.0%  Croston's                   312         130
  23011-FF30426                      +95.0%  New/Relaunch                156          80
  23011-FF30755                      +85.1%  Sparse Intermittent              174       1,170
  23011-FF30880                      +25.8%  Seasonal Baseline            2,616       2,080
  23011-FF31032                      +39.8%  Seasonal Baseline            1,272         910
  23011-FF31075                      +50.6%  Seasonal Baseline            3,720       2,470
  23011-FF31076                       +5.8%  Croston's                   612         650
  23011-FF31287                      +65.2%  Croston's                   208         598
  23011-FF31289                      +64.9%  Croston's                   456       1,300
  23011-FF31481                      +31.5%  Seasonal Baseline              684         520
  23011-FF31605                      +67.1%  Sparse Intermittent              168         510
  23011-FF31606                      +55.4%  Sparse Intermittent              312         700
  23011-FF31607                      +44.6%  Sparse Intermittent              216         390
  23011-FF31608                       +9.2%  Seasonal Baseline            2,184       2,000
  23011-FF32148                      +53.4%  Seasonal Baseline            2,592       1,690
  23011-FF32149                      +35.4%  Sparse Intermittent              168         260
  23011-FF32363                      +30.8%  Croston's                 1,890       2,730
  23011-FF32364                      +34.6%  Croston's                   510         780
  23011-FF32824                      +60.0%  Croston's                   312         780
  23011-FF32840                      +12.6%  Seasonal Baseline              636         728
  23011-FF34936                       +6.3%  Seasonal Baseline            9,252       8,702
  23011-FF35059                       +6.9%  Croston's               146,874     157,764
  23011-FF38640                      +45.1%  Seasonal Baseline          125,268     228,000
  23011-FF38641                      +57.6%  Seasonal Baseline           32,736      77,200
  23011-FF38642                       +7.6%  Seasonal Baseline           75,984      82,200
  23011-FF4577                       +63.1%  Sparse Intermittent               48         130
  23011-FF4775COS                     +6.3%  Seasonal Baseline          131,172     140,038
  23011-FF4776                       +41.5%  Seasonal Baseline            1,104         780
  23011-FF4849COS                     +6.2%  Seasonal Baseline           21,492      22,907
  23011-FF4934                        +7.7%  Seasonal Baseline              960       1,040
  23011-FF4935                       +20.0%  Croston's                   624         520
  23011-FF5777                       +15.4%  Seasonal Baseline            1,500       1,300
  23011-FF5952                      +106.5%  Heuristic                 4,296       2,080
  23011-FF6553                       +21.5%  Seasonal Baseline            1,632       2,080
  23011-FF7112                       +12.2%  Seasonal Baseline           23,286      20,754
  23011-FF7120                       +41.4%  Croston's                14,742      25,174
  23011-FF7210                       +28.0%  Croston's                   468         650
  23011-FF7215                      +100.0%  Croston's                     0         520
  23011-FF7216                       +52.0%  Croston's                   312         650
  23011-FF7217                       +10.0%  Croston's                   468         520
  23011-FF7218                       +20.0%  Croston's                   312         260
  23011-FF7221                      +100.0%  Croston's                     0         780
  23011-FF7228                       +49.2%  Croston's                   396         780
  23011-FF7261                      +200.0%  Croston's                 2,340         780
  23011-FF7263                       +12.3%  Croston's                   228         260
  23011-FF7267COS                    +14.2%  Seasonal Baseline           46,518      40,727
  23011-FF7372                       +23.5%  Seasonal Baseline           14,946      12,101
  23011-FF8256                      +100.0%  Inactive                      0         390
  23011-FF8258                       +63.1%  Sparse Intermittent              144         390
  23011-FF8298                       +35.7%  Croston's                   468         728
  23011-FF8423                       +13.1%  Croston's                13,104      15,080
  23011-FF8424                       +10.0%  Croston's                   936       1,040
  23011-FF8425                       +14.1%  Seasonal Baseline            3,744       4,360
  23011-FF8431                      +100.0%  Inactive                      0         130
  23011-FF8651/8                      +8.1%  Seasonal Baseline          326,384     355,200
  23011-FF8652                      +100.0%  Croston's                     0       1,040
  23011-FF8653                      +100.0%  Croston's                     0         780
  23011-FF8832                       +84.6%  Croston's                   240         130
  23011-FF8882/2                     +56.6%  Croston's                44,538     102,700
  23011-FF8990                       +16.3%  Seasonal Baseline              756         650
  23011-FF8991                       +98.4%  Sparse Intermittent               12         728
  23011-FF9060                       +42.3%  Croston's                   600       1,040
  23011-FF9290/24                   +100.0%  OTB (zero)                    0     6,630.0
  23011-FF9298                       +53.2%  Seasonal Baseline            3,984       2,600
  23011-FF9757                       +41.5%  Seasonal Baseline            1,656       1,170
  23011-SF8169                      +426.2%  Croston's                 5,472       1,040
  23011-SF8174                       +16.9%  Seasonal Baseline            1,512       1,820

==================================================================
  WEEKLY DETAIL — AI vs Manual projections
  Key / Model                  W 1 W 2 W 3 W 4 W 5 W 6 W 7 W 8 W 9 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26  Avg/wk   Δ%
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0082                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 23011-BB0082              2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0       2
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0083               12   12   12   18   18   12   12   12   12   12   18   18   18   18   12   12   12   12   12   12   12   12   12   12   12   12      13  +21.3% 
  Man 23011-BB0083               17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17   17      17
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0092PCS2            0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   18    0       1  +86.2% 
  Man 23011-BB0092PCS2            5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5       5
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0094PCS2           54   54   66   60   66   60   60   66   66   66   66   66   66   66   66   60   60   54   54   54   48   48   48   48   36   36      57  +22.5% 
  Man 23011-BB0094PCS2           30   30   40   40   40   40   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50      47
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0096PCS2           48   48   54   54   54   54   54   60   60   60   60   54   54   54   54   48   48   48   48   48   42   42   42   42   36   30      50  +24.6% 
  Man 23011-BB0096PCS2           40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40      40
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0098PCS2            0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  108    0    0       4  +86.0% 
  Man 23011-BB0098PCS2           20   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30      30
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0100PCS2           60    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       2  +97.5% 
  Man 23011-BB0100PCS2           50   70   70   70   70  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100      93
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0102PCS2           18   18   24   24   24   24   24   24   24   24   24   24   24   24   24   18   18   18   18   18   18   18   18   18   12   12      21  +56.2% 
  Man 23011-BB0102PCS2           30   30   40   40   40   40   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50      47
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB0237              234  234  240  252  240  234  234  240  258  294  384  438  414  354  354  552  768  858  576  282  234  234  246  258  270  240     343  +74.9% 
  Man 23011-BB0237              150  150  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200  200     196
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB12479               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 23011-BB12479               3    3    3    3    3    3    3    3    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       1
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB13435CLR/12      1692 1692 2100 2100 2100 2100 2100 2232 2232 2232 2232 2100 2100 2100 2100 1824 1824 1824 1824 1824 1428 1428 1428 1428 1008 1008   1,848  +36.5% 
  Man 23011-BB13435CLR/12      3070 3065 3215 3250 3978 3117 3435 3380 3276 3265 3228 3058 2884 2803 2584 2647 2534 2590 2603 2583 2561 2856 2307 2311 2515 2515   2,909
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB13436CLR/12      3612 3612 4140 4140 4140 4140 4140 4308 4308 4308 4308 4140 4140 3516 3516 3216 3216 3216 3216 3216 2772 2772 2772 2772 2328 2328   3,550  +13.9% 
  Man 23011-BB13436CLR/12      4353 4346 4558 4608 5641 4420 4870 4792 4645 4629 4577 4335 4089 3975 3664 3754 3592 3672 3691 3663 3632 4049 3272 3276 3566 3566   4,124
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB21058/6          2160 1728 2154 1506 1740 1704 1692 1578 1830 1548 2268 1572 1998 1752 1596 2040 1974 2148 2220 1668 1806 2328 1830 1752 1890 1914   1,861  +4.5% 
  Man 23011-BB21058/6          1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950 1950   1,950
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB24711              10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10      10  +225.0% 
  Man 23011-BB24711               5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    0    0    0    0    0    0    0    0    0    0       3
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB29490/6             6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6       6  +99.7% 
  Man 23011-BB29490/6             0    0    0    0    0 4000 4000 3000 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430 2430   2,105
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB31553PCS3          16   16   24   24   24   24   24   24   24   24   24   24   24   24   24   24   24   24   24   24   16   16   16   16    8    8      21  +16.3% 
  Man 23011-BB31553PCS3          25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25      25
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB34403               6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6       6  +8.3% 
  Man 23011-BB34403              12   12   12   12   12   12   12   12   12   12   12   12    0    0    0    0    0    0    0    0    0    0    0    0    0    0       6
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-BB35904               6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6    6       6  +96.0% 
  Man 23011-BB35904             150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150  150     150
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF10159            9954 9660 10008 11442 9174 8982 11772 8334 9480 10608 10272 11370 9216 10734 8754 10410 10128 10434 11466 11736 12222 14664 9156 11838 10530 11046  10,515  +35.3% 
  Man 23011-FF10159               0 8793 8336 8668 9496 9795 9146 8891 7995 8869 8251 9197 8768 8054 7182 7266 7825 7619 7890 6997 6995 7419 7553 7020 7169 6837   7,770
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF10530              12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12      12  +0.0% 
  Man 23011-FF10530               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF10556              30   30   30   30   30   30   30   30   30   30   30   30   30   25   25   25   25   25   25   25   25   25   25   25   25   25      28  +8.3% 
  Man 23011-FF10556              30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30      30
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF11353              12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12   12      12  +20.0% 
  Man 23011-FF11353              10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10      10
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF11926               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 23011-FF11926               5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5       5
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF11927               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 23011-FF11927               1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1       1
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12375             468  588  612  558  522  594  606  522  618  684  576  810  846  672  714  732  726  624  618  660  672  846  540  648  666  618     644  +7.6% 
  Man 23011-FF12375             519  644  651  646  505  612  595  630  578  612  598  613  647  579  626  633  600  534  643  584  584  584  584  584  584  584     598
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12376             738  792  702  720  798  792  828  618  726  846  798  870  876  720  738  732  930  756  888  858  768 1032  666  816  732  636     784  +3.0% 
  Man 23011-FF12376             680  729  890  796  794  693  707  774  854  654  784  737  773  821  691  814  787  707  751  758  674  851  686  821  779  779     761
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12377               6    0   12    0   12    0   12    0   12    0   12    0   12    0    6    0    6    0    6    0    6    0    6    0    6    0       4  +56.2% 
  Man 23011-FF12377              10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10      10
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12508              48    0   48    0   48    0   48    0   48    0   48    0   48    0   24    0   24    0   24    0   24    0   24    0   24    0      18  +23.1% 
  Man 23011-FF12508              15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15      15
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12659            3756 1890 1692 2256 1824 2358 2250 1926 2244 2214 2112 2460 2328 1782 1884 2448 1932 1920 2364 2130 2208 1956 2256 2610 2784 3168   2,260  +22.1% 
  Man 23011-FF12659            1800 1980 1980 1980 1980 1584 1584 1584 1584 1584 1980 1980 1980 1980 2079 2079 2079 2079 1663 1663 1663 1663 1663 1979 1979 1979   1,851
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12660            4794 2700 2442 2892 2550 3132 3144 2562 3030 3018 2904 3138 2754 2934 2610 3390 2754 2772 3150 3042 3402 4314 5880 5892 3744 4896   3,378  +119.0% 
  Man 23011-FF12660            1500 1650 1650 1650 1650 1320 1320 1320 1320 1320 1650 1650 1650 1650 1733 1733 1733 1733 1386 1386 1386 1386 1386 1649 1649 1649   1,543
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12689              96   72   96  120   96   96   96   72   72   72   72   72   96   72   96  120   96   96   96  120  120   96   72   72   72   72      90  +28.4% 
  Man 23011-FF12689             125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125  125     125
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12837              42   42   42   42   42   42   42   36   36   36   36   36   36   36   36   36   42   42   42   48   42   48   42   42   42   42      40  +10.3% 
  Man 23011-FF12837              45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45   45      45
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12858            2700 2244 3096 3240 2148 2100 2568 1992 2256 2472 1860 2268 2412 1608 1452 1512 1656 1584 1716 1824 1980 1908 1536 1680 1716 2028   2,060  +9.0% 
  Man 23011-FF12858            2200 2420 2420 2420 2420 1936 1936 1936 1936 1936 2420 2420 2420 2420 2541 2541 2541 2541 2033 2033 2033 2033 2033 2419 2419 2419   2,263
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12859            2532 2496 2676 2580 2616 2544 3084 2592 2892 2760 2568 2700 2856 3300 4908 6072 3864 4464 3420 2988 4944 4440 3216 5736 3672 3888   3,454  +12.0% 
  Man 23011-FF12859            3000 3300 3300 3300 3300 2640 2640 2640 2640 2640 3300 3300 3300 3300 3465 3465 3465 3465 2772 2772 2772 2772 2772 3299 3299 3299   3,085
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF12887              60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0   60    0      30  +20.0% 
  Man 23011-FF12887              25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25   25      25
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13154              48    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0   72    0      35  +16.9% 
  Man 23011-FF13154              30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30      30
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13874              30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30      30  +25.0% 
  Man 23011-FF13874              40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40      40
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13875               6    0    0   12    0    0   12    0    0   12    0    0   12    0    0    6    0    0    6    0    0    6    0    0    6    0       3  +80.0% 
  Man 23011-FF13875              15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15   15      15
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13876              36    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0   54    0      26  +24.8% 
  Man 23011-FF13876              35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35   35      35
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13877              18    0   18    0   18    0   18    0   18    0   18    0   18    0   12    0   12    0   12    0   12    0   12    0   12    0       8  +61.9% 
  Man 23011-FF13877              20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20   20      20
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13878              30   30   30   30   30   30   30   30   30   30   30   30   30   24   24   24   24   24   24   24   24   24   24   24   24   24      27  +46.0% 
  Man 23011-FF13878              50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50      50
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13879              78    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0  114    0      56  +20.5% 
  Man 23011-FF13879              70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70   70      70
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13880              30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30   30      30  +25.0% 
  Man 23011-FF13880              40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40   40      40
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13881             216  216  222  228  246  270  282  216  300  318  306  204  192  234  360  378  360  342  420  234  228  384  228  234  198  192     270  +0.0% 
  Man 23011-FF13881               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF13885              36   36   42   36   42   42   42   36   36   36   36   36   36   36   36   36   42   42   42   36   42   42   36   36   36   36      38  +23.8% 
  Man 23011-FF13885              50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50   50      50
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF14468             624  588  816  591  669  729  612  591  885  672  738  774  831  786  789  705  762  882  798  792  777  786  648 1083  804  792     751  +4.3% 
  Man 23011-FF14468             700  770  770  770  770  616  616  616  616  616  770  770  770  770  809  809  809  809  647  647  647  647  647  770  770  770     720
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  23011-FF14469            1074 1074 1386 1233 1128 1050 1527 1086 1233 1179 1290 1362 1365 1554 1455 1224 1251 1341 1308 1314 2091 1620 1116 1509 1230 1212   1,316  +6.6% 
