TABLE_NAME,TABLE_TYPE,REMARKS
Acct_MStyle_Master_Report_CY_Profitability_ALL_Amazon,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_Amazon_Only_20_,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_Amazon_Only_22_for_Fetch,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_Expiring_Tariff_Exclusions_,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_Expiring_Tariff_Exclusions_Amazon_Only,VIEW,
Acct_MStyle_Master_Report_CY_Profitability_Still_less_than_15_,VIEW,
Acct_MStyle_Master_Report_Display_Fake_row_for_UAT_of_the_Projections_UI_code_page_,VIEW,
Acct_MStyle_Master_Report_Do_Not_Exist_in_Inv_Flow,VIEW,
Acct_MStyle_Master_Report_Does_not_Exist_in_Styles,VIEW,
Acct_MStyle_Master_Report_Does_not_Exist_in_Styles_But_Has_Sales,VIEW,
Acct_MStyle_Master_Report_Drilldown_for_PT_Categories_Report,VIEW,
Acct_MStyle_Master_Report_Drilldown_for_PT_Styles_Margin_Report,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Accounts_mirror_,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Accounts_mirror_2,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Acct_MStyle_Snooze,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Amazon_Catalog,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Customers,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow2,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow3,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow4,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow5,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Inventory_Flow6,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Projections,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Styles,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Styles2,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Styles_mstyle_Mirror_,VIEW,
Acct_MStyle_Master_Report_Embedded_for_Styles_mstyle_Mirror_2,VIEW,
Acct_MStyle_Master_Report_Embedded_for_User_Focus,VIEW,
Acct_MStyle_Master_Report_Export_for_Lincoln_Report,VIEW,
Acct_MStyle_Master_Report_Export_for_Performance_Analysis,VIEW,
Acct_MStyle_Master_Report_Export_for_PO_Template,VIEW,
Acct_MStyle_Master_Report_Freight_Out_Actual_vs_Quotes,VIEW,
Acct_MStyle_Master_Report_Increasing_Price_Issues,VIEW,
Acct_MStyle_Master_Report_Items_Set_to_Do_Not_Reorder_for_Cust,VIEW,
Acct_MStyle_Master_Report_List_All,VIEW,
Acct_MStyle_Master_Report_List_All_Active_In_Prodn_Only,VIEW,
Acct_MStyle_Master_Report_List_All_Fields,VIEW,
Acct_MStyle_Master_Report_List_Changes,VIEW,Sorted by Date Modified
Acct_MStyle_Master_Report_Missing_Customer_Name,VIEW,
Acct_MStyle_Master_Report_Missing_Root_Mstyle,VIEW,
Acct_MStyle_Master_Report_Mstyle_Mismatches_from_Amazon_Catalog,VIEW,
Acct_MStyle_Master_Report_My_Active_Styles_New_Pricing_August_2021,VIEW,
Acct_MStyle_Master_Report_My_CY_Profitability_20_,VIEW,
Acct_MStyle_Master_Report_My_Potentially_Late_Items,VIEW,
Acct_MStyle_Master_Report_New_Summary_Report,VIEW,
Acct_MStyle_Master_Report_NOT_CONFIRMED_New_Pricing_August_2021_Active_Styles,VIEW,
Acct_MStyle_Master_Report_Orders_Received_Since_April_1st_with_Incorrect_Pricing_Tariffs_,VIEW,
Acct_MStyle_Master_Report_Orders_Received_Yesterday_Incorrect_Pricing_Tariffs_,VIEW,
Acct_MStyle_Master_Report_Potentially_Late_Items,VIEW,
Acct_MStyle_Master_Report_Price_Changes_2021_vs_2022,VIEW,
Acct_MStyle_Master_Report_Price_Increase_Tracker_2025_Tariffs,VIEW,
Acct_MStyle_Master_Report_Safety_Net_of_Root_MStyle_not_equal_To_Root_MStyle_Inv_Flow_,VIEW,"if the Root MStyle does not match the value n the field Root MStyle (Inv flow) a mirror field, then copy from one into the other with Grid Edit."
Acct_MStyle_Master_Report_Sales_by_Customer_Brand,VIEW,
Acct_MStyle_Master_Report_Sales_Margin_LY_YTD,VIEW,
Acct_MStyle_Master_Report_Sales_Margin_Summary_by_Root_Mstyle,VIEW,
Acct_MStyle_Master_Report_Sell_Price_Latest_Approve_Quote,VIEW,
Acct_MStyle_Master_Report_SNOOZE_Eligible_Acct_MStyle_Pairs,VIEW,Acct MStyles Eligible Move to General 99999 Projection Snooze
Acct_MStyle_Master_Report_Tariff_Price_Issues_25_,VIEW,
Acct_MStyle_Master_Report_Tariff_Price_Issues_25_IN_PRODN_PROMO_OR_COMMIT_ONLY,VIEW,
Acct_MStyle_Master_Report_Tariff_Price_Issues_25_Open_Orders_ONLY,VIEW,
Acct_MStyle_Master_Report_Tariff_Price_Issues_25_with_Open_Orders,VIEW,
Acct_MStyle_Master_Report_Tariff_Price_Issues_Orders_Received_Yesterday,VIEW,
Acct_MStyle_Master_Report_Tariff_Price_Issues_STOP_SHIPPING_NOW,VIEW,
Acct_MStyle_Master_Report_Used_on_Super_Search,VIEW,
Acct_MStyle_Master_Report_View_Create_Eligible_Customer_Projections,VIEW,Projections to be Added from Unique Acct-MStyles
Acct_MStyle_Master_Report_Warehousing_Analysis,VIEW,
Acct_MStyle_Snooze,TABLE,
Acct_MStyle_Snooze_Report_Acct_MStyle_Records_I_created_today,VIEW,
Acct_MStyle_Snooze_Report_Eligible_to_be_Un_Snoozed_Used_by_PIPELINE_do_not_change_any_FILTERS_,VIEW,"Eligible to be Un-Snoozed Used by PIPELINE!! do not change any FILTERS!!!)J
ust Projections - NOT Ignores
Also Auto wake if private Label / Exclusive = true
Also Auto wake up if Customer Projection exists"
Acct_MStyle_Snooze_Report_Embedded_for_Customers,VIEW,
Acct_MStyle_Snooze_Report_Embedded_for_Styles,VIEW,
Acct_MStyle_Snooze_Report_Embedded_for_Unique_Acct_MStyles,VIEW,
Acct_MStyle_Snooze_Report_List_All,VIEW,
Acct_MStyle_Snooze_Report_List_Changes,VIEW,Sorted by Date Modified
Acct_MStyle_Snooze_Report_Snooze_Records_that_Have_Corresponding_Customer_Projections,VIEW,
Admin_Functions_2_used_to_roll_over_Projection_week_names_,TABLE,
Admin_Functions_2_used_to_roll_over_Projection_week_names__Report_List_All,VIEW,
Admin_Functions_2_used_to_roll_over_Projection_week_names__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_3_used_to_roll_over_Projection_week_names_,TABLE,
Admin_Functions_3_used_to_roll_over_Projection_week_names__Report_List_All,VIEW,
Admin_Functions_3_used_to_roll_over_Projection_week_names__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_4_used_to_roll_over_Inventory_Flow_week_names_,TABLE,
Admin_Functions_4_used_to_roll_over_Inventory_Flow_week_names__Report_List_All,VIEW,
Admin_Functions_4_used_to_roll_over_Inventory_Flow_week_names__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_5_used_to_roll_over_Inventory_Flow_week_names_,TABLE,
Admin_Functions_5_used_to_roll_over_Inventory_Flow_week_names__Report_List_All,VIEW,
Admin_Functions_5_used_to_roll_over_Inventory_Flow_week_names__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_6_used_to_roll_over_Inventory_Flow_week_names_,TABLE,
Admin_Functions_6_used_to_roll_over_Inventory_Flow_week_names__Report_List_All,VIEW,
Admin_Functions_6_used_to_roll_over_Inventory_Flow_week_names__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_7_used_to_roll_over_Alternate_Projections_view_,TABLE,
Admin_Functions_7_used_to_roll_over_Alternate_Projections_view__Report_List_All,VIEW,
Admin_Functions_7_used_to_roll_over_Alternate_Projections_view__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_8_used_to_roll_over_Alternate_Projections_view_,TABLE,
Admin_Functions_8_used_to_roll_over_Alternate_Projections_view__Report_List_All,VIEW,
Admin_Functions_8_used_to_roll_over_Alternate_Projections_view__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Functions_9_used_to_roll_over_Alternate_Projections_view_,TABLE,
Admin_Functions_9_used_to_roll_over_Alternate_Projections_view__Report_List_All,VIEW,
Admin_Functions_9_used_to_roll_over_Alternate_Projections_view__Report_List_Changes,VIEW,Sorted by Date Modified
Admin_Scripts,TABLE,
Admin_Scripts_Report_List_All,VIEW,
Admin_Scripts_Report_List_Changes,VIEW,Sorted by Date Modified
AI_Comments,TABLE,
AI_Comments_Report_List_All,VIEW,
AI_Comments_Report_List_Changes,VIEW,Sorted by Date Modified
Allocated_from_In_Transit,TABLE,
Allocated_from_In_Transit_Report_List_All,VIEW,
Allocated_from_In_Transit_Report_List_Changes,VIEW,Sorted by Date Modified
Allocation_Admin,TABLE,
Allocation_Admin_Report_List_All,VIEW,
Allocation_Admin_Report_List_Changes,VIEW,Sorted by Date Modified
Allocation_Batch_IDs,TABLE,
Allocation_Batch_IDs_Report_Embedded_for_Allocation_Admin,VIEW,
Allocation_Batch_IDs_Report_List_All,VIEW,
Allocation_Batch_IDs_Report_List_Changes,VIEW,Sorted by Date Modified
Allowed_Accounts_for_Exclusive_Mstyles,TABLE,
Allowed_Accounts_for_Exclusive_Mstyles_Report_Embedded_for_Customers,VIEW,
Allowed_Accounts_for_Exclusive_Mstyles_Report_List_All,VIEW,
Allowed_Accounts_for_Exclusive_Mstyles_Report_List_Changes,VIEW,Sorted by Date Modified
Allowed_Accounts_for_Exclusive_Mstyles_Report_used_on_for_Styles,VIEW,
Amazon_Bulk_Buys,TABLE,
Amazon_Bulk_Buys_Report_Embedded_for_Amazon_Catalog,VIEW,
Amazon_Bulk_Buys_Report_List_All,VIEW,
Amazon_Bulk_Buys_Report_List_Changes,VIEW,Sorted by Date Modified
Amazon_Catalog,TABLE,
Amazon_Catalog_Report_List_All,VIEW,
Amazon_Catalog_Report_List_Changes,VIEW,Sorted by Date Modified
Amazon_Traffic_Diagnostics,TABLE,
Amazon_Traffic_Diagnostics_Report_List_All,VIEW,
Amazon_Traffic_Diagnostics_Report_List_Changes,VIEW,Sorted by Date Modified
AS400_Order_Entry,TABLE,
AS400_Order_Entry_Report_Add_Edit_Orders_not_yet_sent_to_AS400,VIEW,Add/Edit Orders  not yet sent to AS400
AS400_Order_Entry_Report_Embedded_for_Accounts_mirror_,VIEW,
AS400_Order_Entry_Report_Embedded_for_Acct_MStyle_Pairs,VIEW,
AS400_Order_Entry_Report_Embedded_for_Customer_Store_List,VIEW,
AS400_Order_Entry_Report_Embedded_for_Customers,VIEW,
AS400_Order_Entry_Report_Embedded_for_Inventory,VIEW,
AS400_Order_Entry_Report_Embedded_for_Inventory_Flow,VIEW,
AS400_Order_Entry_Report_Embedded_for_Order_History_summary_,VIEW,
AS400_Order_Entry_Report_Embedded_for_Styles,VIEW,
AS400_Order_Entry_Report_Export_Format,VIEW,
AS400_Order_Entry_Report_List_All,VIEW,
AS400_Order_Entry_Report_List_all_PO_Lines_Not_Sent_to_AS400,VIEW,Please Use GRID EDIT to Add/Modify PO's
AS400_Order_Entry_Report_List_Changes,VIEW,Sorted by Date Modified
AS400_Order_Entry_Report_Summary_Report_by_date_time_sent_to_AS400,VIEW,
AS400_Templates,TABLE,
AS400_Templates_Report_Embedded_for_Inventory,VIEW,
AS400_Templates_Report_Embedded_for_Styles,VIEW,
AS400_Templates_Report_Embedded_for_User_Focus,VIEW,
AS400_Templates_Report_List_All,VIEW,
AS400_Templates_Report_List_Changes,VIEW,Sorted by Date Modified
AS400_Templates_Report_Used_on_Customers,VIEW,
AS_400_In_Transit_Allocations_Import_File,TABLE,
AS_400_In_Transit_Allocations_Import_File_Report_List_All,VIEW,
AS_400_In_Transit_Allocations_Import_File_Report_List_Changes,VIEW,Sorted by Date Modified
Brand_Category_Subcategory,TABLE,
Brand_Category_Subcategory_Report_List_All,VIEW,
Brand_Category_Subcategory_Report_List_Changes,VIEW,Sorted by Date Modified
Current_Stock_Errors,TABLE,
Current_Stock_Errors_Report_List_All,VIEW,
Current_Stock_Errors_Report_List_Changes,VIEW,Sorted by Date Modified
Customer_Master_sync_,TABLE,
Customer_Master_sync__Report_List_All,VIEW,
Customer_Master_sync__Report_List_Changes,VIEW,Sorted by Date Modified
Customer_Master_sync__Report_Unique_Account_s,VIEW,
Customer_Order_Allocations,TABLE,
Customer_Order_Allocations_Report_Embedded_for_Acct_MStyle_Pairs,VIEW,
Customer_Order_Allocations_Report_Embedded_for_Allocation_Admin,VIEW,
Customer_Order_Allocations_Report_Embedded_for_Order_History,VIEW,
Customer_Order_Allocations_Report_Export_Report_for_AS_400,VIEW,
Customer_Order_Allocations_Report_List_All,VIEW,
Customer_Order_Allocations_Report_List_all_Orders_to_be_Allocated_by_Acct_MStytle,VIEW,
Customer_Order_Allocations_Report_List_Changes,VIEW,Sorted by Date Modified
Customer_Order_Allocations_Report_List_of_Requested_Extensions,VIEW,
Customer_Order_Allocations_Report_Orders_with_Qty_Still_to_be_Allocated,VIEW,
Customer_Store_List,TABLE,
Customer_Store_List_Report_List_All,VIEW,
Customer_Store_List_Report_List_Changes,VIEW,Sorted by Date Modified
Customers,TABLE,
Customers_Report_Add_Back_Customers,VIEW,
Customers_Report_Check_f0r_Duplicate_Acct_,VIEW,
Customers_Report_Customers_Not_in_Accounts_Table_with_Sales,VIEW,
Customers_Report_Embedded_for_User_Focus,VIEW,
Customers_Report_List_All,VIEW,
Customers_Report_List_Changes,VIEW,Sorted by Date Modified
Customers_Report_Missing_Customers_in_Projections,VIEW,
FOB_Points,TABLE,
FOB_Points_Report_List_All,VIEW,
FOB_Points_Report_List_Changes,VIEW,Sorted by Date Modified
Forecast_Amazon,TABLE,
Forecast_Amazon_Report_BTR_Opportunities,VIEW,
Forecast_Amazon_Report_Embedded_for_Amazon_Catalog,VIEW,
Forecast_Amazon_Report_Embedded_for_Projections,VIEW,
Forecast_Amazon_Report_List_All,VIEW,
Forecast_Amazon_Report_List_Changes,VIEW,Sorted by Date Modified
Inv_Mgmt_Admin,TABLE,
Inv_Mgmt_Admin_Report_Embedded_for_Admin_Scripts,VIEW,
Inv_Mgmt_Admin_Report_List_All,VIEW,
Inv_Mgmt_Admin_Report_List_Changes,VIEW,Sorted by Date Modified
Inv_Mgmt_Admin_Report_Manual_Force_Rename_Column_Headings,VIEW,
Inv_Mgmt_Admin_Report_Super_Search_1_button,VIEW,
Inv_Mgmt_Admin_Report_Super_Search_2_Buttons,VIEW,
Inv_Mgmt_Admin_Report_Sync_Table_Dates_Last_Updated,VIEW,
Inventory,TABLE,
Inventory_Age,TABLE,
Inventory_Age_Report_Embedded_for_Inventory,VIEW,
Inventory_Age_Report_List_All,VIEW,
Inventory_Age_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Flow,TABLE,
Inventory_Flow_Comments,TABLE,
Inventory_Flow_Comments_Report_List_All,VIEW,
Inventory_Flow_Comments_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Flow_Report_2023_FOB_Cost_Savings_Active_,VIEW,
Inventory_Flow_Report_2024_FOB_Cost_Savings_Active_,VIEW,
Inventory_Flow_Report_365_Aged_ATS_AEI,VIEW,
Inventory_Flow_Report_Aged_Inventory_Cost_by_Manager,VIEW,
Inventory_Flow_Report_Aged_Inventory_Report,VIEW,
Inventory_Flow_Report_Aged_Report,VIEW,
Inventory_Flow_Report_Aged_Report_by_Manager,VIEW,
Inventory_Flow_Report_Aged_Report_by_Manager_Chart,VIEW,
Inventory_Flow_Report_Allocate_for_Amazon_testing_,VIEW,
Inventory_Flow_Report_Amazon_CA_NJ_Ship_Preference,VIEW,
Inventory_Flow_Report_Amazon_OOS_Risks_Priorities,VIEW,
Inventory_Flow_Report_Amazon_Work_Order_Track,VIEW,
Inventory_Flow_Report_Amazon_Work_Order_Track_Overstock,VIEW,
Inventory_Flow_Report_Amazon_Work_Order_Tracking_Needs_to_Move_to_Factory,VIEW,
Inventory_Flow_Report_AMZ_DI_Inv_Discrepancies,VIEW,
Inventory_Flow_Report_AMZ_DI_Inv_Flow,VIEW,
Inventory_Flow_Report_AMZ_Do_Not_Ship_List,VIEW,Amz items with low profitability - on do not ship list
Inventory_Flow_Report_Amz_Potential_Holds,VIEW,
Inventory_Flow_Report_AMZ_Trending_Items_EC_Styles_,VIEW,
Inventory_Flow_Report_AMZ_Trending_Items_Multi_Pk_,VIEW,
Inventory_Flow_Report_ATS_New_,VIEW,
Inventory_Flow_Report_ATS_Now_ATS_Qty_OH,VIEW,
Inventory_Flow_Report_AU_Inv_Flow,VIEW,
Inventory_Flow_Report_Aug_Open_Orders_Review_,VIEW,
Inventory_Flow_Report_AUS_Inv_Flow,VIEW,
Inventory_Flow_Report_AUS_Inv_Transfer_Format,VIEW,
Inventory_Flow_Report_BB_Overstock_Export_Inventory_Flow_Main_w_Confirmed_Receipts_Only_CRO_,VIEW,
Inventory_Flow_Report_Biesk_Inv_Flow,VIEW,
Inventory_Flow_Report_Big_Lots_Inv_Flow,VIEW,
Inventory_Flow_Report_Blue_Sea_Inv_Flow,VIEW,
Inventory_Flow_Report_Brand_Buzz_Available_to_Sale_Report,VIEW,
Inventory_Flow_Report_Brand_Buzz_Available_to_Sale_Report_Never_Out_Items_,VIEW,
Inventory_Flow_Report_Brand_Buzz_Inv_Flow_NVO_Items,VIEW,
Inventory_Flow_Report_Brand_Buzz_Inv_Flow_Whse_Planning_,VIEW,
Inventory_Flow_Report_Brand_Buzz_Inv_Flow_Whse_Planning_ER,VIEW,
Inventory_Flow_Report_C_S_Inv_Flow,VIEW,
Inventory_Flow_Report_Category_by_Style,VIEW,
Inventory_Flow_Report_Check_Opt_WOS_for_FD_Disco_Commit_Promo_Restricted_etc,VIEW,
Inventory_Flow_Report_Chewy_Inv_Flow,VIEW,
Inventory_Flow_Report_Clorox_OOH,VIEW,
Inventory_Flow_Report_Clorox_Pro_Inventory,VIEW,
Inventory_Flow_Report_Closed_but_OH,VIEW,
Inventory_Flow_Report_Closeouts_Fetch,VIEW,
Inventory_Flow_Report_Clx_Pro_Healthcare_Inv_Flow,VIEW,
Inventory_Flow_Report_Component_Inventory_List,VIEW,
Inventory_Flow_Report_Cost_Negotiation_Needed,VIEW,Upcoming purchases over next 4 weeks from international supplier. Cost has not been updated in last 6 months OR received a cost increase previously
Inventory_Flow_Report_Current_OOS_Items_US_Only_,VIEW,"No Multipacks, Commits, EU or AU)"
Inventory_Flow_Report_DOLGEN_CORP_Inv_Flow,VIEW,
Inventory_Flow_Report_DOLGEN_Inv_Flow,VIEW,
Inventory_Flow_Report_DOLGEN_Inventory_Flow,VIEW,
Inventory_Flow_Report_drop_down_for_non_resin_BOMs,VIEW,
Inventory_Flow_Report_drop_down_list_of_Gladware_Selling_Units,VIEW,
Inventory_Flow_Report_Embedded_for_Acct_MStyle_Snooze,VIEW,
Inventory_Flow_Report_Embedded_for_Amazon_Catalog,VIEW,
Inventory_Flow_Report_Embedded_for_FOB_Points,VIEW,
Inventory_Flow_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_,VIEW,
Inventory_Flow_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_2,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory2,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory3,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory_Flow,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory_Flow2,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory_Request_Detail,VIEW,
Inventory_Flow_Report_Embedded_for_Inventory_Request_Detail2,VIEW,
Inventory_Flow_Report_Embedded_for_Metric_Trends_sync_,VIEW,
Inventory_Flow_Report_Embedded_for_Order_History,VIEW,
Inventory_Flow_Report_Embedded_for_Sales_Amazon,VIEW,
Inventory_Flow_Report_Embedded_for_Style_MStyle_SKU_Search,VIEW,
Inventory_Flow_Report_Embedded_for_Styles,VIEW,
Inventory_Flow_Report_Embedded_for_Supplier_POs,VIEW,
Inventory_Flow_Report_Embedded_for_Supplier_POs2,VIEW,
Inventory_Flow_Report_Embedded_for_User_Focus,VIEW,
Inventory_Flow_Report_Embedded_for_User_Focus2,VIEW,
Inventory_Flow_Report_Ent_ATS,VIEW,
Inventory_Flow_Report_Entertainment_Active_Replen,VIEW,
Inventory_Flow_Report_Entertainment_Brands_Export,VIEW,
Inventory_Flow_Report_Entertainment_Items_Rcvd_L4_Month,VIEW,
Inventory_Flow_Report_Expiring_Licenses_12_31_25_Inventory,VIEW,
Inventory_Flow_Report_Export_ABC_NVO_Rank_Active_Replen_,VIEW,
Inventory_Flow_Report_Export_ATS_China_Qtys,VIEW,
Inventory_Flow_Report_Export_for_Amz_Inv_Flow_WOs,VIEW,
Inventory_Flow_Report_Export_for_Inv_Flow,VIEW,
Inventory_Flow_Report_Export_for_Inv_Flow_AEI,VIEW,
Inventory_Flow_Report_Export_for_Inv_Flow_W_G,VIEW,
Inventory_Flow_Report_Export_for_Inv_Flow_WMT_Sales_Report,VIEW,
Inventory_Flow_Report_Export_for_Inventory_Flow_DR,VIEW,
Inventory_Flow_Report_Export_for_Inventory_Flow_FETCH,VIEW,
Inventory_Flow_Report_Export_for_Inventory_Flow_Gross_Overstock,VIEW,NOTE:!!  You must enable column filters and filters on the first column which is where ATS now (Cfmd) > 3000 being YES. 
Inventory_Flow_Report_Export_for_Inventory_Flow_Gross_Overstock_new_,VIEW,
Inventory_Flow_Report_Export_for_Inventory_Flow_Inv_Review_Worksheet_,VIEW,
Inventory_Flow_Report_Export_for_Promo_Stock,VIEW,
Inventory_Flow_Report_Export_for_STOCK_Qty_for_Sales,VIEW,
Inventory_Flow_Report_Export_for_UK_Inv_Flow,VIEW,
Inventory_Flow_Report_Export_Inv_Flow_China_Items_NL,VIEW,
Inventory_Flow_Report_Export_Mstyles,VIEW,
Inventory_Flow_Report_Export_of_Inv_Flow_NL,VIEW,
Inventory_Flow_Report_EXPORT_Replenishment_Orders_for_Production,VIEW,
Inventory_Flow_Report_Fabuloso_Available_to_Sale,VIEW,
Inventory_Flow_Report_FD_Private_Label_Inv,VIEW,
Inventory_Flow_Report_Fetch4Pets_Available_to_Sale_Report_Never_Out_Items_,VIEW,
Inventory_Flow_Report_Fetch_Active_Promos,VIEW,
Inventory_Flow_Report_Fetch_Available_to_Sale_Report,VIEW,
Inventory_Flow_Report_Fetch_Available_to_Sale_Report2,VIEW,
Inventory_Flow_Report_Fetch_Inv_Flow_NVO_Items,VIEW,
Inventory_Flow_Report_Fetch_Inv_Flow_Shopify_Items,VIEW,
Inventory_Flow_Report_Fetch_Inv_Flow_Whse_Planning_CA_to_NJ,VIEW,
Inventory_Flow_Report_Future_Delete_Inventory_Availability,VIEW,
Inventory_Flow_Report_Future_Delete_Reactivate_Review,VIEW,
Inventory_Flow_Report_Future_Delete_Warning,VIEW,
Inventory_Flow_Report_GE_Inventory_flow_for_OOR,VIEW,
Inventory_Flow_Report_GLAD_TRAINING_PADS_FLOW,VIEW,
Inventory_Flow_Report_Gladware_Dropdowns_for_Gladware_MRP,VIEW,
Inventory_Flow_Report_Gladware_MStyles,VIEW,
Inventory_Flow_Report_Gladware_MStyles_copy,VIEW,
Inventory_Flow_Report_Gladware_New_UPC_Run_Out_Estimate,VIEW,
Inventory_Flow_Report_Grossly_Overstocked,VIEW,"More than 15 weeks over & more than 9,000 pcs over"
Inventory_Flow_Report_H_O_Inv_Flow,VIEW,
Inventory_Flow_Report_H_O_INVENTORY_FLOW,VIEW,
Inventory_Flow_Report_HANGZHOU_YIZHAN_PET_PRODUCTS_INVENTORY_FLOW,VIEW,
Inventory_Flow_Report_HEFEI_YATAI_IMPEXP_TRADING_Active,VIEW,
Inventory_Flow_Report_HEFEI_YATAI_IMPEXP_TRADING_Inventory_Flow,VIEW,
Inventory_Flow_Report_High_ATS_WOS_OH_OO,VIEW,
Inventory_Flow_Report_Hold_Items_Review,VIEW,
Inventory_Flow_Report_Holidays_Ent_Available_to_Sale_Report,VIEW,
Inventory_Flow_Report_I_W_with_Kits,VIEW,
Inventory_Flow_Report_Inv_Flow_AEI,VIEW,
Inventory_Flow_Report_Inv_Flow_ATS_Whse_Planning_,VIEW,
Inventory_Flow_Report_Inv_Flow_ATS_Whse_Planning_Jonathan,VIEW,
Inventory_Flow_Report_Inv_Flow_ATS_Whse_Planning_S,VIEW,
Inventory_Flow_Report_Inv_Flow_ATS_Whse_Planning_Shina,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_ER,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_for_LT_MOQ,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_Format_Chewy_Cuts,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_Overstock_PO_s_IW,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_Run_Out_Dates,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_Supply_Constraint_,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_w_26_wks_,VIEW,
